1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,SAR_Laptime_s,SAR_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CS_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
1 P 2:10.735,2:10.735,130.735,130.735,,1 P 2:12.767,2:12.767,132.767,132.767,,1 P 3:08.456,3:08.456,188.456,188.456,,,,#VALUE!,#VALUE!,,1 P 2:14.751,2:14.751,134.751,134.751,,1 P 2:24.356,2:24.356,144.356,144.356,,1 P 2:53.223,2:53.223,173.223,173.223,,1 P 2:50.167,2:50.167,170.167,170.167,,1 P 2:20.526,2:20.526,140.526,140.526,,1 P 2:59.595,2:59.595,179.595,179.595,,1 P 2:34.543,2:34.543,154.543,154.543,,1 P 2:17.613,2:17.613,137.613,137.613,,1 P 3:05.172,3:05.172,185.172,185.172,,1 P 2:42.853,2:42.853,162.853,162.853,,,,#VALUE!,#VALUE!,,1 P 2:47.566,2:47.566,167.566,167.566,,1 P 3:15.118,3:15.118,195.118,195.118,,1 P 2:44.736,2:44.736,164.736,164.736,,1 P 2:32.716,2:32.716,152.716,152.716,,1 P 2:39.587,2:39.587,159.587,159.587,,,RefTime (VER),VER,PER,LEC,SAI,HAM,RUS,ALO,STR,NOR,PIA,OCO,GAS,TSU,RIC,ALB,SAR,MAG,HUL,BOT,ZHO
2 28:31.131,8:31.131,511.131,641.866,,2 28:31.382,8:31.382,511.382,644.149,,2 28:24.529,8:24.529,504.529,692.985,,,,#VALUE!,#VALUE!,,2 28:30.610,8:30.610,510.610,645.361,,2 28:34.222,8:34.222,514.222,658.578,,2 28:31.726,8:31.726,511.726,684.949,,2 28:31.609,8:31.609,511.609,681.776,,2 28:34.647,8:34.647,514.647,655.173,,2 28:28.558,8:28.558,508.558,688.153,,2 28:31.605,8:31.605,511.605,666.148,,2 28:32.219,8:32.219,512.219,649.832,,2 28:25.561,8:25.561,505.561,690.733,,2 28:28.601,8:28.601,508.601,671.454,,,,#VALUE!,#VALUE!,,2 28:29.992,8:29.992,509.992,677.558,,2 28:19.553,8:19.553,499.553,694.671,,2 28:28.578,8:28.578,508.578,673.314,,2 28:29.973,8:29.973,509.973,662.689,,2 28:28.819,8:28.819,508.819,668.406,,1,130.735,0.000,2.032,23.808,6.878,21.981,28.852,9.791,48.860,4.016,13.621,39.432,42.488,36.831,,,57.721,54.437,32.118,34.001,64.383
3 2:52.922,2:52.922,172.922,814.788,,3 2:51.630,2:51.630,171.630,815.779,,3 2:12.603,2:12.603,132.603,825.588,,,,#VALUE!,#VALUE!,,3 2:51.325,2:51.325,171.325,816.686,,3 2:40.061,2:40.061,160.061,818.639,,3 2:18.362,2:18.362,138.362,823.311,,3 2:20.237,2:20.237,140.237,822.013,,3 2:42.586,2:42.586,162.586,817.759,,3 2:14.682,2:14.682,134.682,822.835,,3 2:33.066,2:33.066,153.066,819.214,,3 2:47.321,2:47.321,167.321,817.153,,3 2:12.996,2:12.996,132.996,823.729,,3 2:33.011,2:33.011,153.011,824.465,,,,#VALUE!,#VALUE!,,3 2:23.191,2:23.191,143.191,820.749,,3 2:09.289,2:09.289,129.289,823.96,,3 2:28.991,2:28.991,148.991,822.305,,3 2:37.153,2:37.153,157.153,819.842,,3 2:32.774,2:32.774,152.774,821.18,,2,641.866,0.000,2.283,24.282,7.966,20.823,26.540,13.307,46.287,3.495,16.712,39.910,43.083,35.692,,,51.119,48.867,29.588,31.448,52.805
4 1:36.472,1:36.472,96.472,911.260,,4 1:36.573,1:36.573,96.573,912.352,,4 1:40.424,1:40.424,100.424,926.012,,,,#VALUE!,#VALUE!,,4 1:36.853,1:36.853,96.853,913.539,,4 1:37.734,1:37.734,97.734,916.373,,4 1:39.925,1:39.925,99.925,923.236,,4 1:39.541,1:39.541,99.541,921.554,,4 1:37.453,1:37.453,97.453,915.212,,4 1:39.528,1:39.528,99.528,922.363,,4 1:38.268,1:38.268,98.268,917.482,,4 1:37.225,1:37.225,97.225,914.378,,4 1:40.103,1:40.103,100.103,923.832,,4 1:40.374,1:40.374,100.374,924.839,,,,#VALUE!,#VALUE!,,4 1:39.108,1:39.108,99.108,919.857,,4 1:40.228,1:40.228,100.228,924.188,,4 1:39.462,1:39.462,99.462,921.767,,4 1:38.303,1:38.303,98.303,918.145,,4 1:38.976,1:38.976,98.976,920.156,,3,814.788,0.000,0.991,4.426,2.365,5.054,6.392,2.971,8.047,1.898,3.851,7.225,8.523,5.961,,,10.800,8.941,9.677,7.517,9.172
5 1:36.437,1:36.437,96.437,1007.697,,5 1:36.568,1:36.568,96.568,1008.920,,5 1:39.668,1:39.668,99.668,1025.680,,,,#VALUE!,#VALUE!,,5 1:36.860,1:36.860,96.860,1010.399,,5 1:37.631,1:37.631,97.631,1014.004,,5 1:39.473,1:39.473,99.473,1022.709,,5 1:40.081,1:40.081,100.081,1021.635,,5 1:37.532,1:37.532,97.532,1012.744,,5 1:39.552,1:39.552,99.552,1021.915,,5 1:37.812,1:37.812,97.812,1015.294,,5 1:37.322,1:37.322,97.322,1011.7,,5 1:39.392,1:39.392,99.392,1023.224,,5 P 1:41.491,1:41.491,101.491,1026.33,,,,#VALUE!,#VALUE!,,5 1:39.508,1:39.508,99.508,1019.365,,5 1:39.597,1:39.597,99.597,1023.785,,5 1:38.279,1:38.279,98.279,1020.046,,5 1:38.139,1:38.139,98.139,1016.284,,5 1:37.737,1:37.737,97.737,1017.893,,4,911.260,0.000,1.092,6.222,3.118,6.885,8.896,3.952,11.103,2.279,5.113,10.294,11.976,8.597,,,14.752,12.572,13.579,10.507,12.928
6 1:36.855,1:36.855,96.855,1104.552,,6 1:37.693,1:37.693,97.693,1106.613,,6 1:39.582,1:39.582,99.582,1125.262,,,,#VALUE!,#VALUE!,,6 1:37.900,1:37.900,97.900,1108.299,,6 1:38.141,1:38.141,98.141,1112.145,,6 1:40.257,1:40.257,100.257,1122.966,,6 1:40.496,1:40.496,100.496,1122.131,,6 1:37.861,1:37.861,97.861,1110.605,,6 1:38.746,1:38.746,98.746,1120.661,,6 1:38.021,1:38.021,98.021,1113.315,,6 1:37.721,1:37.721,97.721,1109.421,,6 1:40.026,1:40.026,100.026,1123.25,,6 1:57.275,1:57.275,117.275,1143.605,,,,#VALUE!,#VALUE!,,6 1:38.887,1:38.887,98.887,1118.252,,6 1:39.991,1:39.991,99.991,1123.776,,6 P 1:41.288,1:41.288,101.288,1121.334,,6 1:38.190,1:38.190,98.19,1114.474,,6 1:38.392,1:38.392,98.392,1116.285,,5,1007.697,0.000,1.223,7.597,4.003,8.587,10.196,5.047,14.218,2.702,6.307,13.938,15.012,11.668,,,17.983,15.527,18.633,12.349,16.088
7 1:36.970,1:36.970,96.970,1201.522,,7 1:37.308,1:37.308,97.308,1203.921,,7 1:40.055,1:40.055,100.055,1225.317,,,,#VALUE!,#VALUE!,,7 1:37.742,1:37.742,97.742,1206.041,,7 1:38.191,1:38.191,98.191,1210.336,,7 1:40.248,1:40.248,100.248,1223.214,,7 1:39.744,1:39.744,99.744,1221.875,,7 1:38.203,1:38.203,98.203,1208.808,,7 1:38.624,1:38.624,98.624,1219.285,,7 1:38.187,1:38.187,98.187,1211.502,,7 1:37.756,1:37.756,97.756,1207.177,,7 1:40.357,1:40.357,100.357,1223.607,,7 1:36.751,1:36.751,96.751,1240.356,,,,#VALUE!,#VALUE!,,7 P 1:40.998,1:40.998,100.998,1219.25,,7 P 1:42.874,1:42.874,102.874,1226.65,,7 1:57.449,1:57.449,117.449,1238.783,,7 1:38.374,1:38.374,98.374,1212.848,,7 1:38.070,1:38.070,98.07,1214.355,,6,1104.552,0.000,2.061,8.763,4.869,9.922,11.733,6.053,16.109,3.747,7.593,17.579,18.414,13.700,,,20.710,18.698,39.053,16.782,19.224
8 1:37.329,1:37.329,97.329,1298.851,,8 1:37.220,1:37.220,97.220,1301.141,,8 1:39.655,1:39.655,99.655,1324.972,,,,#VALUE!,#VALUE!,,8 1:37.824,1:37.824,97.824,1303.865,,8 1:38.222,1:38.222,98.222,1308.558,,8 1:41.363,1:41.363,101.363,1324.577,,8 1:40.009,1:40.009,100.009,1321.884,,8 1:38.461,1:38.461,98.461,1307.269,,8 1:38.610,1:38.610,98.610,1317.895,,8 1:37.920,1:37.920,97.92,1309.422,,8 1:37.736,1:37.736,97.736,1304.913,,8 1:39.601,1:39.601,99.601,1323.208,,8 1:37.616,1:37.616,97.616,1337.972,,,,#VALUE!,#VALUE!,,8 1:58.044,1:58.044,118.044,1337.294,,8 1:58.402,1:58.402,118.402,1345.052,,8 1:36.706,1:36.706,96.706,1335.489,,8 1:38.096,1:38.096,98.096,1310.944,,8 1:38.192,1:38.192,98.192,1312.547,,7,1201.522,0.000,2.399,9.980,5.655,11.326,12.833,7.286,17.763,4.519,8.814,20.353,21.692,17.728,,,23.795,22.085,38.834,37.261,25.128
9 1:37.178,1:37.178,97.178,1396.029,,9 1:37.838,1:37.838,97.838,1398.979,,9 1:40.871,1:40.871,100.871,1425.843,,,,#VALUE!,#VALUE!,,9 1:37.963,1:37.963,97.963,1401.828,,9 1:38.500,1:38.500,98.5,1407.058,,9 1:40.780,1:40.780,100.780,1425.357,,9 1:40.294,1:40.294,100.294,1422.178,,9 1:38.884,1:38.884,98.884,1406.153,,9 1:38.881,1:38.881,98.881,1416.776,,9 1:38.213,1:38.213,98.213,1407.635,,9 1:37.980,1:37.980,97.98,1402.893,,9 1:40.251,1:40.251,100.251,1423.459,,9 1:37.898,1:37.898,97.898,1435.87,,,,#VALUE!,#VALUE!,,9 1:37.170,1:37.170,97.17,1434.464,,9 1:37.160,1:37.160,97.16,1442.212,,9 1:37.406,1:37.406,97.406,1432.895,,9 1:38.533,1:38.533,98.533,1409.477,,9 1:38.253,1:38.253,98.253,1410.8,,8,1298.851,0.000,2.290,10.571,6.062,12.093,13.696,8.418,19.044,5.014,9.707,23.033,25.726,38.443,,,26.121,24.357,39.121,36.638,46.201
10 1:37.590,1:37.590,97.590,1493.619,,10 1:37.926,1:37.926,97.926,1496.905,,10 1:40.916,1:40.916,100.916,1526.759,,,,#VALUE!,#VALUE!,,10 1:38.158,1:38.158,98.158,1499.986,,10 1:39.011,1:39.011,99.011,1506.069,,10 1:41.117,1:41.117,101.117,1526.474,,10 1:40.315,1:40.315,100.315,1522.493,,10 1:38.781,1:38.781,98.781,1504.934,,10 1:39.052,1:39.052,99.052,1515.828,,10 1:39.034,1:39.034,99.034,1506.669,,10 1:38.304,1:38.304,98.304,1501.197,,10 1:40.177,1:40.177,100.177,1523.636,,10 1:38.340,1:38.340,98.34,1534.21,,,,#VALUE!,#VALUE!,,10 1:37.496,1:37.496,97.496,1531.96,,10 1:37.500,1:37.500,97.5,1539.712,,10 1:37.451,1:37.451,97.451,1530.346,,10 1:38.703,1:38.703,98.703,1508.18,,10 1:38.368,1:38.368,98.368,1509.168,,9,1396.029,0.000,2.950,11.606,6.864,13.448,14.771,10.124,20.747,5.799,11.029,26.149,29.328,38.435,,,29.814,27.430,39.841,36.866,46.183
11 1:37.774,1:37.774,97.774,1591.393,,11 1:38.216,1:38.216,98.216,1595.121,,11 1:39.348,1:39.348,99.348,1626.107,,,,#VALUE!,#VALUE!,,11 P 1:40.760,1:40.760,100.760,1600.746,,11 1:39.245,1:39.245,99.245,1605.314,,11 1:41.628,1:41.628,101.628,1628.102,,11 1:40.371,1:40.371,100.371,1622.864,,11 1:38.943,1:38.943,98.943,1603.877,,11 1:39.103,1:39.103,99.103,1614.931,,11 1:39.193,1:39.193,99.193,1605.862,,11 1:38.273,1:38.273,98.273,1599.47,,11 1:39.900,1:39.900,99.9,1623.536,,11 1:38.352,1:38.352,98.352,1632.562,,,,#VALUE!,#VALUE!,,11 1:37.895,1:37.895,97.895,1629.855,,11 P 1:41.117,1:41.117,101.117,1640.829,,11 1:38.432,1:38.432,98.432,1628.778,,11 1:39.292,1:39.292,99.292,1607.472,,11 1:38.949,1:38.949,98.949,1608.117,,10,1493.619,0.000,3.286,13.050,7.578,14.561,15.549,11.315,22.209,6.367,12.450,28.874,32.855,38.341,,,33.140,30.017,40.591,36.727,46.093
12 1:37.753,1:37.753,97.753,1689.146,,12 1:38.156,1:38.156,98.156,1693.277,,12 1:39.911,1:39.911,99.911,1726.018,,,,#VALUE!,#VALUE!,,12 1:55.643,1:55.643,115.643,1716.389,,12 P 1:41.083,1:41.083,101.083,1706.397,,12 1:41.107,1:41.107,101.107,1729.209,,12 1:40.560,1:40.560,100.560,1723.424,,12 1:38.744,1:38.744,98.744,1702.621,,12 P 1:41.638,1:41.638,101.638,1716.569,,12 1:38.883,1:38.883,98.883,1704.745,,12 1:37.847,1:37.847,97.847,1697.317,,12 1:40.260,1:40.260,100.26,1723.796,,12 1:38.847,1:38.847,98.847,1731.409,,,,#VALUE!,#VALUE!,,12 1:40.057,1:40.057,100.057,1729.912,,12 P 2:08.193,2:08.193,128.193,1769.022,,12 1:40.691,1:40.691,100.691,1729.469,,12 1:39.202,1:39.202,99.202,1706.674,,12 1:39.212,1:39.212,99.212,1707.329,,11,1591.393,0.000,3.728,14.469,8.077,16.079,16.724,12.484,23.538,9.353,13.921,31.471,36.709,38.462,,,34.714,32.143,41.169,37.385,49.436
13 1:37.727,1:37.727,97.727,1786.873,,13 1:38.125,1:38.125,98.125,1791.402,,13 1:40.197,1:40.197,100.197,1826.215,,,,#VALUE!,#VALUE!,,13 1:35.761,1:35.761,95.761,1812.150,,13 1:58.558,1:58.558,118.558,1824.955,,13 1:42.475,1:42.475,102.475,1831.684,,13 1:41.341,1:41.341,101.341,1824.765,,13 P 1:40.816,1:40.816,100.816,1803.437,,13 1:56.221,1:56.221,116.221,1832.790,,13 1:38.479,1:38.479,98.479,1803.224,,13 1:38.333,1:38.333,98.333,1795.65,,13 1:39.267,1:39.267,99.267,1823.063,,13 1:40.302,1:40.302,100.302,1831.711,,,,#VALUE!,#VALUE!,,13 1:38.980,1:38.980,98.98,1828.892,,,,#VALUE!,#VALUE!,,13 1:38.282,1:38.282,98.282,1827.751,,13 1:40.240,1:40.240,100.24,1806.914,,13 1:38.989,1:38.989,98.989,1806.318,,12,1689.146,0.000,4.131,15.599,8.171,17.528,18.183,13.475,27.423,27.243,17.251,34.278,40.063,40.766,,,36.872,34.650,42.263,40.323,79.876
14 1:37.910,1:37.910,97.910,1884.783,,14 1:38.505,1:38.505,98.505,1889.907,,14 1:39.713,1:39.713,99.713,1925.928,,,,#VALUE!,#VALUE!,,14 1:36.777,1:36.777,96.777,1908.927,,14 1:37.675,1:37.675,97.675,1922.63,,14 1:41.773,1:41.773,101.773,1933.457,,14 1:40.787,1:40.787,100.787,1925.552,,14 1:56.544,1:56.544,116.544,1919.981,,14 1:37.935,1:37.935,97.935,1930.725,,14 1:38.595,1:38.595,98.595,1901.819,,14 1:38.504,1:38.504,98.504,1894.154,,14 1:40.786,1:40.786,100.786,1923.849,,14 1:38.617,1:38.617,98.617,1930.328,,,,#VALUE!,#VALUE!,,14 1:38.510,1:38.510,98.51,1927.402,,,,#VALUE!,#VALUE!,,14 1:38.717,1:38.717,98.717,1926.468,,14 1:39.053,1:39.053,99.053,1905.967,,14 1:38.428,1:38.428,98.428,1904.746,,13,1786.873,0.000,4.529,16.351,8.777,20.041,19.445,16.564,45.917,25.277,38.082,37.892,44.811,42.019,,,39.342,36.190,44.838,40.878,
15 1:37.854,1:37.854,97.854,1982.637,,15 P 1:40.906,1:40.906,100.906,1990.813,,15 1:39.368,1:39.368,99.368,2025.296,,,,#VALUE!,#VALUE!,,15 1:36.788,1:36.788,96.788,2005.715,,15 1:37.377,1:37.377,97.377,2020.007,,15 1:41.380,1:41.380,101.380,2034.837,,15 1:40.961,1:40.961,100.961,2026.513,,15 1:37.453,1:37.453,97.453,2017.434,,15 1:38.125,1:38.125,98.125,2028.850,,15 1:38.172,1:38.172,98.172,1999.991,,15 P 1:40.439,1:40.439,100.439,1994.593,,15 1:39.373,1:39.373,99.373,2023.222,,15 1:39.624,1:39.624,99.624,2029.952,,,,#VALUE!,#VALUE!,,15 1:39.925,1:39.925,99.925,2027.327,,,,#VALUE!,#VALUE!,,15 1:40.420,1:40.420,100.42,2026.888,,15 1:38.915,1:38.915,98.915,2004.882,,15 1:38.565,1:38.565,98.565,2003.311,,14,1884.783,0.000,5.124,17.036,9.371,21.184,19.963,35.198,45.942,24.144,37.847,40.769,48.674,42.619,,,41.145,39.066,45.545,41.685,
16 P 1:40.272,1:40.272,100.272,2082.909,,16 1:54.826,1:54.826,114.826,2105.639,,16 1:39.404,1:39.404,99.404,2124.700,,,,#VALUE!,#VALUE!,,16 1:38.241,1:38.241,98.241,2103.956,,16 1:37.058,1:37.058,97.058,2117.065,,16 P 1:43.476,1:43.476,103.476,2138.313,,16 1:40.692,1:40.692,100.692,2127.205,,16 1:37.021,1:37.021,97.021,2114.455,,16 1:39.274,1:39.274,99.274,2128.124,,16 1:37.876,1:37.876,97.876,2097.867,,16 1:56.159,1:56.159,116.159,2110.752,,16 1:39.814,1:39.814,99.814,2123.036,,16 1:39.355,1:39.355,99.355,2129.307,,,,#VALUE!,#VALUE!,,16 1:40.096,1:40.096,100.096,2127.423,,,,#VALUE!,#VALUE!,,16 1:38.633,1:38.633,98.633,2125.521,,16 1:38.693,1:38.693,98.693,2103.575,,16 1:38.658,1:38.658,98.658,2101.969,,15,1982.637,0.000,8.176,17.354,11.956,22.245,20.674,34.797,46.213,23.078,37.370,43.876,52.200,44.690,,,42.659,40.585,47.315,44.251,
17 1:56.478,1:56.478,116.478,2199.387,,17 1:37.428,1:37.428,97.428,2203.067,,17 1:39.216,1:39.216,99.216,2223.916,,,,#VALUE!,#VALUE!,,17 1:37.807,1:37.807,97.807,2201.763,,17 1:36.747,1:36.747,96.747,2213.812,,17 1:58.732,1:58.732,118.732,2257.045,,17 1:40.929,1:40.929,100.929,2228.134,,17 1:36.999,1:36.999,96.999,2211.454,,17 1:38.057,1:38.057,98.057,2226.181,,17 1:37.856,1:37.856,97.856,2195.723,,17 1:36.469,1:36.469,96.469,2207.221,,17 1:39.728,1:39.728,99.728,2222.764,,17 1:39.312,1:39.312,99.312,2228.619,,,,#VALUE!,#VALUE!,,17 1:37.944,1:37.944,97.944,2225.367,,,,#VALUE!,#VALUE!,,17 1:38.718,1:38.718,98.718,2224.239,,17 1:40.530,1:40.530,100.53,2204.105,,17 1:39.417,1:39.417,99.417,2201.386,,16,2082.909,0.000,22.730,14.958,27.843,20.666,19.060,31.546,45.215,21.047,34.156,44.296,55.404,44.514,,,41.791,40.127,46.398,42.612,
18 1:36.822,1:36.822,96.822,2296.209,,18 1:37.844,1:37.844,97.844,2300.911,,18 1:40.309,1:40.309,100.309,2324.225,,,,#VALUE!,#VALUE!,,18 1:36.487,1:36.487,96.487,2298.250,,18 1:36.822,1:36.822,96.822,2310.634,,18 1:38.374,1:38.374,98.374,2355.419,,18 1:40.737,1:40.737,100.737,2328.871,,18 1:37.031,1:37.031,97.031,2308.485,,18 1:38.843,1:38.843,98.843,2325.024,,18 1:37.760,1:37.760,97.76,2293.483,,18 1:36.698,1:36.698,96.698,2303.919,,18 1:39.665,1:39.665,99.665,2322.429,,18 1:38.476,1:38.476,98.476,2327.095,,,,#VALUE!,#VALUE!,,18 1:39.270,1:39.270,99.27,2324.637,,,,#VALUE!,#VALUE!,,18 1:38.830,1:38.830,98.83,2323.069,,18 1:39.304,1:39.304,99.304,2303.409,,18 1:40.317,1:40.317,100.317,2301.703,,17,2199.387,0.000,3.680,-3.664,7.834,4.718,1.999,12.067,26.794,2.376,14.425,28.747,57.658,25.980,,,24.529,23.377,29.232,24.852,
19 1:36.252,1:36.252,96.252,2392.461,,19 1:36.436,1:36.436,96.436,2397.347,,19 1:39.537,1:39.537,99.537,2423.762,,,,#VALUE!,#VALUE!,,19 1:36.783,1:36.783,96.783,2395.033,,19 1:36.782,1:36.782,96.782,2407.416,,19 1:38.599,1:38.599,98.599,2454.018,,19 P 1:42.283,1:42.283,102.283,2431.154,,19 1:36.821,1:36.821,96.821,2405.306,,19 1:39.757,1:39.757,99.757,2424.781,,19 1:37.523,1:37.523,97.523,2391.006,,19 1:37.786,1:37.786,97.786,2401.705,,19 1:39.538,1:39.538,99.538,2421.967,,19 1:38.894,1:38.894,98.894,2425.989,,,,#VALUE!,#VALUE!,,19 1:39.658,1:39.658,99.658,2424.295,,,,#VALUE!,#VALUE!,,19 1:39.632,1:39.632,99.632,2422.701,,19 1:39.352,1:39.352,99.352,2402.761,,19 1:38.392,1:38.392,98.392,2400.095,,18,2296.209,0.000,4.702,-2.726,7.710,7.200,5.494,12.276,28.815,2.041,14.425,32.662,59.210,28.428,,,28.016,26.220,30.886,26.860,
