1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,SAR_Laptime_s,SAR_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CS_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
20 1:36.402,1:36.402,96.402,2488.863,,20 1:36.206,1:36.206,96.206,2493.553,,20 1:38.968,1:38.968,98.968,2522.730,,,,#VALUE!,#VALUE!,,20 1:36.847,1:36.847,96.847,2491.880,,20 1:36.984,1:36.984,96.984,2504.4,,20 1:38.741,1:38.741,98.741,2552.759,,20 1:58.375,1:58.375,118.375,2549.529,,20 1:37.615,1:37.615,97.615,2502.921,,20 1:39.248,1:39.248,99.248,2524.029,,20 1:37.480,1:37.480,97.48,2488.486,,20 1:37.314,1:37.314,97.314,2499.019,,20 1:39.262,1:39.262,99.262,2521.229,,20 1:39.343,1:39.343,99.343,2525.332,,,,#VALUE!,#VALUE!,,20 1:39.100,1:39.100,99.1,2523.395,,,,#VALUE!,#VALUE!,,20 1:39.113,1:39.113,99.113,2521.814,,20 1:38.619,1:38.619,98.619,2501.38,,20 1:38.463,1:38.463,98.463,2498.558,,19,2392.461,0.000,4.886,-1.455,9.244,10.300,7.634,12.845,32.320,2.572,14.955,38.693,61.557,31.834,,,31.301,29.506,33.528,30.240,
21 1:35.617,1:35.617,95.617,2584.480,,21 1:36.558,1:36.558,96.558,2590.111,,21 1:39.612,1:39.612,99.612,2622.342,,,,#VALUE!,#VALUE!,,21 1:36.996,1:36.996,96.996,2588.876,,21 1:37.416,1:37.416,97.416,2601.816,,21 1:38.415,1:38.415,98.415,2651.174,,21 1:37.716,1:37.716,97.716,2647.245,,21 1:37.565,1:37.565,97.565,2600.486,,21 1:39.552,1:39.552,99.552,2623.581,,21 1:38.203,1:38.203,98.203,2586.689,,21 1:37.995,1:37.995,97.995,2597.014,,21 1:39.545,1:39.545,99.545,2620.774,,21 1:39.780,1:39.780,99.78,2625.112,,,,#VALUE!,#VALUE!,,21 1:39.562,1:39.562,99.562,2622.957,,,,#VALUE!,#VALUE!,,21 1:39.457,1:39.457,99.457,2621.271,,21 1:38.642,1:38.642,98.642,2600.022,,21 1:39.492,1:39.492,99.492,2598.05,,20,2488.863,0.000,4.690,-0.377,10.156,12.517,9.695,14.058,35.166,3.017,15.537,60.666,63.896,34.532,,,33.867,32.366,36.469,32.951,
22 1:36.384,1:36.384,96.384,2680.864,,22 1:37.264,1:37.264,97.264,2687.375,,22 P 1:41.989,1:41.989,101.989,2724.331,,,,#VALUE!,#VALUE!,,22 1:38.888,1:38.888,98.888,2687.764,,22 1:38.625,1:38.625,98.625,2700.441,,22 1:38.382,1:38.382,98.382,2749.556,,22 1:37.775,1:37.775,97.775,2745.020,,22 1:37.721,1:37.721,97.721,2698.207,,22 P 1:42.328,1:42.328,102.328,2725.909,,22 1:37.744,1:37.744,97.744,2684.433,,22 1:36.575,1:36.575,96.575,2693.589,,22 P 1:42.164,1:42.164,102.164,2722.938,,22 1:39.694,1:39.694,99.694,2724.806,,,,#VALUE!,#VALUE!,,22 P 1:41.916,1:41.916,101.916,2724.873,,,,#VALUE!,#VALUE!,,22 P 1:42.311,1:42.311,102.311,2723.582,,22 1:39.823,1:39.823,99.823,2699.845,,22 P 1:40.895,1:40.895,100.895,2698.945,,21,2584.480,0.000,5.631,2.209,12.534,15.542,13.570,16.006,39.101,4.396,17.336,62.765,66.694,38.477,,,37.862,36.294,40.632,36.791,
23 1:36.205,1:36.205,96.205,2777.069,,23 1:36.656,1:36.656,96.656,2784.031,,23 2:01.843,2:01.843,121.843,2846.174,,,,#VALUE!,#VALUE!,,23 1:38.213,1:38.213,98.213,2785.977,,23 1:38.919,1:38.919,98.919,2799.36,,23 1:39.816,1:39.816,99.816,2849.372,,23 1:39.219,1:39.219,99.219,2844.239,,23 1:37.640,1:37.640,97.640,2795.847,,23 1:56.743,1:56.743,116.743,2842.652,,23 1:37.755,1:37.755,97.755,2782.188,,23 1:36.779,1:36.779,96.779,2790.368,,23 2:01.576,2:01.576,121.576,2844.514,,23 1:38.965,1:38.965,98.965,2823.771,,,,#VALUE!,#VALUE!,,23 1:57.251,1:57.251,117.251,2842.124,,,,#VALUE!,#VALUE!,,23 2:01.647,2:01.647,121.647,2845.229,,23 P 1:41.466,1:41.466,101.466,2801.311,,23 1:55.552,1:55.552,115.552,2814.497,,22,2680.864,0.000,6.511,3.569,12.725,18.981,18.081,17.343,45.045,6.900,19.577,64.156,68.692,44.009,,,43.467,42.074,43.942,42.718,
24 1:36.532,1:36.532,96.532,2873.601,,24 1:36.921,1:36.921,96.921,2880.952,,24 1:38.094,1:38.094,98.094,2944.268,,,,#VALUE!,#VALUE!,,24 1:37.722,1:37.722,97.722,2883.699,,24 1:37.175,1:37.175,97.175,2896.535,,24 1:38.781,1:38.781,98.781,2948.153,,24 1:38.924,1:38.924,98.924,2943.163,,24 1:37.435,1:37.435,97.435,2893.282,,24 1:36.761,1:36.761,96.761,2939.413,,24 1:38.071,1:38.071,98.071,2880.259,,24 1:36.805,1:36.805,96.805,2887.173,,24 1:36.654,1:36.654,96.654,2941.168,,24 1:39.261,1:39.261,99.261,2923.032,,,,#VALUE!,#VALUE!,,24 1:36.637,1:36.637,96.637,2938.761,,,,#VALUE!,#VALUE!,,24 1:38.126,1:38.126,98.126,2943.355,,24 1:55.127,1:55.127,115.127,2916.438,,24 1:35.149,1:35.149,95.149,2909.646,,23,2777.069,0.000,6.962,5.119,13.299,24.242,37.428,18.778,65.583,8.908,22.291,67.170,72.303,65.055,,,69.105,67.445,46.702,68.160,
25 1:36.337,1:36.337,96.337,2969.938,,25 1:37.760,1:37.760,97.760,2978.712,,25 1:38.430,1:38.430,98.430,3042.698,,,,#VALUE!,#VALUE!,,25 1:37.558,1:37.558,97.558,2981.257,,25 1:37.776,1:37.776,97.776,2994.311,,25 1:39.034,1:39.034,99.034,3047.187,,25 1:39.084,1:39.084,99.084,3042.247,,25 1:37.423,1:37.423,97.423,2990.705,,25 1:36.995,1:36.995,96.995,3036.408,,25 1:37.918,1:37.918,97.918,2978.177,,25 1:36.945,1:36.945,96.945,2984.118,,25 1:37.033,1:37.033,97.033,3038.201,,25 1:38.781,1:38.781,98.781,3021.813,,,,#VALUE!,#VALUE!,,25 1:37.073,1:37.073,97.073,3035.834,,,,#VALUE!,#VALUE!,,25 1:36.608,1:36.608,96.608,3039.963,,25 1:35.432,1:35.432,95.432,3011.87,,25 1:35.673,1:35.673,95.673,3005.319,,24,2873.601,0.000,7.351,6.658,13.572,42.837,36.045,19.681,65.812,10.098,22.934,69.562,74.552,65.160,,,70.667,67.567,49.431,69.754,
26 1:36.437,1:36.437,96.437,3066.375,,26 1:37.689,1:37.689,97.689,3076.401,,26 1:38.485,1:38.485,98.485,3141.183,,,,#VALUE!,#VALUE!,,26 P 1:40.917,1:40.917,100.917,3082.174,,26 1:37.364,1:37.364,97.364,3091.675,,26 1:38.958,1:38.958,98.958,3146.145,,26 1:38.611,1:38.611,98.611,3140.858,,26 1:37.289,1:37.289,97.289,3087.994,,26 1:37.307,1:37.307,97.307,3133.715,,26 P 1:43.175,1:43.175,103.175,3081.352,,26 1:37.137,1:37.137,97.137,3081.255,,26 1:37.145,1:37.145,97.145,3135.346,,26 1:39.042,1:39.042,99.042,3120.855,,,,#VALUE!,#VALUE!,,26 1:37.037,1:37.037,97.037,3132.871,,,,#VALUE!,#VALUE!,,26 1:36.858,1:36.858,96.858,3136.821,,26 1:35.447,1:35.447,95.447,3107.317,,26 1:35.775,1:35.775,95.775,3101.094,,25,2969.938,0.000,8.774,8.239,14.180,41.932,35.381,20.767,66.470,11.319,24.373,72.309,77.249,65.896,,,72.760,68.263,51.875,70.025,
27 1:36.654,1:36.654,96.654,3163.029,,27 1:36.843,1:36.843,96.843,3173.244,,27 1:36.590,1:36.590,96.590,3237.773,,,,#VALUE!,#VALUE!,,27 1:56.621,1:56.621,116.621,3198.795,,27 1:37.389,1:37.389,97.389,3189.064,,27 1:38.902,1:38.902,98.902,3245.047,,27 1:38.943,1:38.943,98.943,3239.801,,27 1:37.359,1:37.359,97.359,3185.353,,27 1:37.244,1:37.244,97.244,3230.959,,27 1:55.623,1:55.623,115.623,3196.975,,27 1:37.068,1:37.068,97.068,3178.323,,27 1:37.395,1:37.395,97.395,3232.741,,27 1:39.256,1:39.256,99.256,3220.111,,,,#VALUE!,#VALUE!,,27 1:37.184,1:37.184,97.184,3230.055,,,,#VALUE!,#VALUE!,,27 1:36.622,1:36.622,96.622,3233.443,,27 1:36.135,1:36.135,96.135,3203.452,,27 1:37.280,1:37.280,97.28,3198.374,,26,3066.375,0.000,10.026,14.977,14.880,40.942,34.719,21.619,67.340,15.799,25.300,74.483,79.770,66.496,,,74.808,68.971,54.480,70.446,
28 1:36.496,1:36.496,96.496,3259.525,,28 1:36.733,1:36.733,96.733,3269.977,,28 1:37.429,1:37.429,97.429,3335.202,,,,#VALUE!,#VALUE!,,28 1:35.721,1:35.721,95.721,3294.516,,28 1:37.438,1:37.438,97.438,3286.502,,28 1:38.873,1:38.873,98.873,3343.920,,28 1:38.612,1:38.612,98.612,3338.413,,28 1:37.341,1:37.341,97.341,3282.694,,28 1:37.088,1:37.088,97.088,3328.047,,28 1:36.090,1:36.090,96.09,3293.065,,28 1:36.845,1:36.845,96.845,3275.168,,28 1:37.504,1:37.504,97.504,3330.245,,28 1:39.170,1:39.170,99.17,3319.281,,,,#VALUE!,#VALUE!,,28 1:37.227,1:37.227,97.227,3327.282,,,,#VALUE!,#VALUE!,,28 1:37.472,1:37.472,97.472,3330.915,,28 1:36.295,1:36.295,96.295,3299.747,,28 1:37.564,1:37.564,97.564,3295.938,,27,3163.029,0.000,10.215,33.946,15.294,40.423,35.345,22.324,67.930,35.766,26.035,76.772,82.018,67.026,,,74.744,69.712,57.082,70.414,
29 1:36.655,1:36.655,96.655,3356.180,,29 1:36.969,1:36.969,96.969,3366.946,,29 1:37.679,1:37.679,97.679,3432.881,,,,#VALUE!,#VALUE!,,29 1:36.258,1:36.258,96.258,3390.774,,29 1:37.771,1:37.771,97.771,3384.273,,29 1:39.052,1:39.052,99.052,3442.972,,29 1:38.702,1:38.702,98.702,3437.115,,29 1:37.782,1:37.782,97.782,3380.476,,29 1:37.633,1:37.633,97.633,3425.680,,29 1:36.357,1:36.357,96.357,3389.422,,29 1:37.176,1:37.176,97.176,3372.344,,29 1:37.888,1:37.888,97.888,3428.133,,29 1:39.951,1:39.951,99.951,3419.232,,,,#VALUE!,#VALUE!,,29 1:37.319,1:37.319,97.319,3424.601,,,,#VALUE!,#VALUE!,,29 1:37.712,1:37.712,97.712,3428.627,,29 1:36.746,1:36.746,96.746,3396.493,,29 1:36.699,1:36.699,96.699,3392.637,,28,3259.525,0.000,10.452,33.540,15.643,40.222,36.413,23.169,68.522,34.991,26.977,78.888,84.395,67.757,,,75.677,70.720,59.756,71.390,
30 1:36.849,1:36.849,96.849,3453.029,,30 1:37.097,1:37.097,97.097,3464.043,,30 1:37.511,1:37.511,97.511,3530.392,,,,#VALUE!,#VALUE!,,30 1:36.243,1:36.243,96.243,3487.017,,30 1:37.946,1:37.946,97.946,3482.219,,30 1:38.894,1:38.894,98.894,3541.866,,30 1:38.499,1:38.499,98.499,3535.614,,30 1:37.643,1:37.643,97.643,3478.119,,30 1:37.361,1:37.361,97.361,3523.041,,30 1:36.225,1:36.225,96.225,3485.647,,30 1:37.010,1:37.010,97.01,3469.354,,30 1:38.014,1:38.014,98.014,3526.147,,30 1:39.183,1:39.183,99.183,3518.415,,,,#VALUE!,#VALUE!,,30 1:37.617,1:37.617,97.617,3522.218,,,,#VALUE!,#VALUE!,,30 1:38.253,1:38.253,98.253,3526.88,,30 1:36.399,1:36.399,96.399,3492.892,,30 1:36.493,1:36.493,96.493,3489.13,,29,3356.180,0.000,10.766,33.242,16.164,40.313,36.457,24.296,69.500,34.594,28.093,80.935,86.792,68.421,,,76.701,71.953,63.052,72.447,
31 1:36.761,1:36.761,96.761,3549.790,,31 1:37.118,1:37.118,97.118,3561.161,,31 1:37.495,1:37.495,97.495,3627.887,,,,#VALUE!,#VALUE!,,31 1:36.225,1:36.225,96.225,3583.242,,31 1:37.845,1:37.845,97.845,3580.064,,31 1:39.450,1:39.450,99.450,3641.316,,31 1:38.662,1:38.662,98.662,3634.276,,31 1:37.451,1:37.451,97.451,3575.570,,31 1:37.729,1:37.729,97.729,3620.770,,31 1:36.201,1:36.201,96.201,3581.848,,31 1:36.901,1:36.901,96.901,3566.255,,31 1:38.498,1:38.498,98.498,3624.645,,31 1:39.465,1:39.465,99.465,3617.88,,,,#VALUE!,#VALUE!,,31 1:37.676,1:37.676,97.676,3619.894,,,,#VALUE!,#VALUE!,,31 1:38.058,1:38.058,98.058,3624.938,,31 1:36.586,1:36.586,96.586,3589.478,,31 1:36.776,1:36.776,96.776,3585.906,,30,3453.029,0.000,11.014,32.618,16.325,39.863,36.101,25.090,70.012,33.988,29.190,82.585,88.837,69.189,,,77.363,73.118,65.386,73.851,
32 1:36.920,1:36.920,96.920,3646.710,,32 1:37.106,1:37.106,97.106,3658.267,,32 1:37.761,1:37.761,97.761,3725.648,,,,#VALUE!,#VALUE!,,32 1:36.375,1:36.375,96.375,3679.617,,32 P 1:39.482,1:39.482,99.482,3679.546,,32 P 1:41.728,1:41.728,101.728,3743.044,,32 1:38.366,1:38.366,98.366,3732.642,,32 1:37.635,1:37.635,97.635,3673.205,,32 1:38.202,1:38.202,98.202,3718.972,,32 1:36.144,1:36.144,96.144,3677.992,,32 1:37.106,1:37.106,97.106,3663.361,,32 1:38.657,1:38.657,98.657,3723.302,,32 1:40.248,1:40.248,100.248,3718.128,,,,#VALUE!,#VALUE!,,32 1:38.624,1:38.624,98.624,3718.518,,,,#VALUE!,#VALUE!,,32 1:38.748,1:38.748,98.748,3723.686,,32 1:36.601,1:36.601,96.601,3686.079,,32 1:36.744,1:36.744,96.744,3682.65,,31,3549.790,0.000,11.371,32.058,16.465,39.688,36.116,25.780,70.980,33.452,30.274,84.486,91.526,70.104,,,78.097,74.855,68.090,75.148,
33 1:37.048,1:37.048,97.048,3743.758,,33 P 1:39.409,1:39.409,99.409,3757.676,,33 1:38.166,1:38.166,98.166,3823.814,,,,#VALUE!,#VALUE!,,33 1:36.340,1:36.340,96.340,3775.957,,33 1:55.493,1:55.493,115.493,3795.039,,33 1:57.833,1:57.833,117.833,3860.877,,33 P 1:40.764,1:40.764,100.764,3833.406,,33 P 1:39.794,1:39.794,99.794,3772.999,,33 1:39.609,1:39.609,99.609,3818.581,,33 1:35.878,1:35.878,95.878,3773.87,,33 1:37.233,1:37.233,97.233,3760.594,,33 1:38.580,1:38.580,98.58,3821.882,,33 P 1:43.896,1:43.896,103.896,3822.024,,,,#VALUE!,#VALUE!,,33 1:38.692,1:38.692,98.692,3817.21,,,,#VALUE!,#VALUE!,,33 1:38.722,1:38.722,98.722,3822.408,,33 1:36.444,1:36.444,96.444,3782.523,,33 1:36.383,1:36.383,96.383,3779.033,,32,3646.710,0.000,11.557,31.282,16.651,39.369,35.940,26.495,72.262,32.907,32.836,85.932,96.334,71.808,,,78.938,76.592,71.418,76.976,
34 P 1:39.226,1:39.226,99.226,3842.984,,34 1:54.946,1:54.946,114.946,3872.622,,34 P 1:40.392,1:40.392,100.392,3924.206,,,,#VALUE!,#VALUE!,,34 1:36.262,1:36.262,96.262,3872.219,,34 1:35.255,1:35.255,95.255,3890.294,,34 1:38.671,1:38.671,98.671,3959.548,,34 1:57.831,1:57.831,117.831,3951.237,,34 1:55.043,1:55.043,115.043,3888.042,,34 P 1:39.550,1:39.550,99.550,3918.131,,34 1:36.320,1:36.320,96.32,3870.19,,34 1:36.901,1:36.901,96.901,3857.495,,34 1:37.930,1:37.930,97.93,3919.812,,34 1:57.385,1:57.385,117.385,3939.409,,,,#VALUE!,#VALUE!,,34 1:37.793,1:37.793,97.793,3915.003,,,,#VALUE!,#VALUE!,,34 1:38.003,1:38.003,98.003,3920.411,,34 1:36.707,1:36.707,96.707,3879.23,,34 1:36.704,1:36.704,96.704,3875.737,,33,3743.758,0.000,13.918,30.112,16.836,38.765,35.275,29.241,74.823,32.199,51.281,89.648,117.119,73.452,,,80.056,78.124,78.266,78.650,
35 1:55.503,1:55.503,115.503,3958.487,,35 1:33.945,1:33.945,93.945,3966.567,,35 1:56.181,1:56.181,116.181,4040.387,,,,#VALUE!,#VALUE!,,35 1:36.614,1:36.614,96.614,3968.833,,35 1:34.802,1:34.802,94.802,3985.096,,35 1:37.656,1:37.656,97.656,4057.204,,35 1:37.126,1:37.126,97.126,4048.363,,35 1:35.771,1:35.771,95.771,3983.813,,35 1:53.728,1:53.728,113.728,4031.859,,35 1:36.056,1:36.056,96.056,3966.246,,35 1:36.948,1:36.948,96.948,3954.443,,35 1:38.046,1:38.046,98.046,4017.858,,35 1:35.937,1:35.937,95.937,4035.346,,,,#VALUE!,#VALUE!,,35 1:37.626,1:37.626,97.626,4012.629,,,,#VALUE!,#VALUE!,,35 1:38.007,1:38.007,98.007,4018.418,,35 1:36.514,1:36.514,96.514,3975.744,,35 1:36.470,1:36.470,96.47,3972.207,,34,3842.984,0.000,29.638,27.206,14.511,36.246,32.753,45.058,75.147,29.235,47.310,108.253,116.564,72.019,,,81.222,76.828,96.425,77.427,
36 1:34.619,1:34.619,94.619,4053.106,,36 1:34.479,1:34.479,94.479,4061.046,,36 1:35.497,1:35.497,95.497,4135.884,,,,#VALUE!,#VALUE!,,36 1:35.896,1:35.896,95.896,4064.729,,36 1:35.128,1:35.128,95.128,4080.224,,36 1:37.283,1:37.283,97.283,4154.487,,36 1:36.983,1:36.983,96.983,4145.346,,36 1:35.353,1:35.353,95.353,4079.166,,36 1:35.973,1:35.973,95.973,4127.832,,36 1:36.681,1:36.681,96.681,4062.927,,36 P 1:39.310,1:39.310,99.31,4053.753,,36 1:38.078,1:38.078,98.078,4115.936,,36 1:35.858,1:35.858,95.858,4131.204,,,,#VALUE!,#VALUE!,,36 1:37.103,1:37.103,97.103,4109.732,,,,#VALUE!,#VALUE!,,36 1:38.257,1:38.257,98.257,4116.675,,36 1:36.191,1:36.191,96.191,4071.935,,36 1:36.468,1:36.468,96.468,4068.675,,35,3958.487,0.000,8.080,7.759,-4.044,17.257,13.720,25.326,73.372,10.346,26.609,89.876,98.717,54.142,,,81.900,59.371,76.859,59.931,
37 1:34.970,1:34.970,94.970,4148.076,,37 1:34.808,1:34.808,94.808,4155.854,,37 1:36.103,1:36.103,96.103,4231.987,,,,#VALUE!,#VALUE!,,37 1:36.412,1:36.412,96.412,4161.141,,37 1:35.400,1:35.400,95.4,4175.624,,37 1:38.426,1:38.426,98.426,4252.913,,37 1:38.763,1:38.763,98.763,4244.109,,37 1:35.381,1:35.381,95.381,4174.547,,37 1:36.284,1:36.284,96.284,4224.116,,37 1:36.135,1:36.135,96.135,4159.062,,37 1:55.063,1:55.063,115.063,4168.816,,37 1:37.662,1:37.662,97.662,4213.598,,37 1:35.933,1:35.933,95.933,4227.137,,,,#VALUE!,#VALUE!,,37 1:37.419,1:37.419,97.419,4207.151,,,,#VALUE!,#VALUE!,,37 1:37.602,1:37.602,97.602,4214.277,,37 1:36.622,1:36.622,96.622,4168.557,,37 P 1:38.830,1:38.830,98.83,4167.505,,36,4053.106,0.000,7.940,9.821,0.647,18.829,15.569,26.060,74.726,11.623,27.118,92.240,101.381,56.626,,,82.778,62.830,78.098,63.569,
38 1:34.986,1:34.986,94.986,4243.062,,38 1:35.245,1:35.245,95.245,4251.099,,38 1:36.149,1:36.149,96.149,4328.136,,,,#VALUE!,#VALUE!,,38 1:35.883,1:35.883,95.883,4257.024,,38 1:35.267,1:35.267,95.267,4270.891,,38 1:36.756,1:36.756,96.756,4349.669,,38 1:36.714,1:36.714,96.714,4340.823,,38 1:35.487,1:35.487,95.487,4270.034,,38 1:36.356,1:36.356,96.356,4320.472,,38 1:36.029,1:36.029,96.029,4255.091,,38 1:33.995,1:33.995,93.995,4262.811,,38 1:37.789,1:37.789,97.789,4311.387,,38 1:36.130,1:36.130,96.13,4323.267,,,,#VALUE!,#VALUE!,,38 1:37.442,1:37.442,97.442,4304.593,,,,#VALUE!,#VALUE!,,38 1:38.000,1:38.000,98,4312.277,,38 1:37.458,1:37.458,97.458,4266.015,,38 1:53.925,1:53.925,113.925,4281.43,,37,4148.076,0.000,7.778,10.986,20.740,20.481,19.429,26.471,76.040,13.065,27.548,96.033,104.837,59.075,,,83.911,65.522,79.061,66.201,
39 1:34.494,1:34.494,94.494,4337.556,,39 1:34.990,1:34.990,94.990,4346.089,,39 1:36.250,1:36.250,96.250,4424.386,,,,#VALUE!,#VALUE!,,39 1:35.706,1:35.706,95.706,4352.730,,39 1:36.036,1:36.036,96.036,4366.927,,39 1:40.223,1:40.223,100.223,4449.892,,39 1:37.058,1:37.058,97.058,4437.881,,39 1:35.970,1:35.970,95.970,4366.004,,39 1:36.614,1:36.614,96.614,4417.086,,39 1:35.693,1:35.693,95.693,4350.784,,39 1:34.419,1:34.419,94.419,4357.23,,39 1:37.553,1:37.553,97.553,4408.94,,39 1:35.853,1:35.853,95.853,4419.12,,,,#VALUE!,#VALUE!,,39 1:37.595,1:37.595,97.595,4402.188,,,,#VALUE!,#VALUE!,,39 1:37.232,1:37.232,97.232,4409.509,,39 P 1:39.030,1:39.030,99.03,4365.045,,39 1:34.404,1:34.404,94.404,4375.834,,38,4243.062,0.000,8.037,12.029,19.749,22.953,38.368,26.972,77.410,13.962,27.829,97.761,106.607,61.531,,,85.074,68.325,80.205,69.215,
40 1:34.343,1:34.343,94.343,4431.899,,40 1:34.738,1:34.738,94.738,4440.827,,40 1:36.282,1:36.282,96.282,4520.668,,,,#VALUE!,#VALUE!,,40 1:36.249,1:36.249,96.249,4448.979,,40 1:35.888,1:35.888,95.888,4462.815,,40 1:38.072,1:38.072,98.072,4547.964,,40 1:37.580,1:37.580,97.580,4535.461,,40 1:35.808,1:35.808,95.808,4461.812,,40 1:35.844,1:35.844,95.844,4512.930,,40 1:36.341,1:36.341,96.341,4447.125,,40 1:34.396,1:34.396,94.396,4451.626,,40 1:37.542,1:37.542,97.542,4506.482,,40 1:35.705,1:35.705,95.705,4514.825,,,,#VALUE!,#VALUE!,,40 1:37.441,1:37.441,97.441,4499.629,,,,#VALUE!,#VALUE!,,40 1:37.858,1:37.858,97.858,4507.367,,40 1:54.409,1:54.409,114.409,4479.454,,40 1:34.537,1:34.537,94.537,4470.371,,39,4337.556,0.000,8.533,13.228,19.674,27.489,38.278,28.448,79.530,15.174,29.371,100.325,112.336,64.632,,,86.830,71.384,81.564,71.953,
