33 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,89 Jack AITKEN,,AIT_Laptime_s,AIT_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,6 Nicholas LATIFI,,NL_Laptime_s,NL_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,5 Seb VETTEL,,SV_Laptime_s,SV_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CS_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,51 Pietro FITTIPALDI,,PF_Laptime_s,PF_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,26 Daniil Kvyat,,DK_Laptime_s,DK_Cumulative,,99 Antonio GIO,,AG_Laptime_s,AG_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,7 Kimi RAI,,KR_Laptime_s,KR_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RP1,SF1,MCL2,M-AMG1,M_AMG2,SF2,RP2,MCL1,WIL1,REN1,ATO1,ATO2,REN2,RBR2,WIL2,HAS1,HAS2,SAUB1,SAUB2
,,#VALUE!,#VALUE!,,1 P 1:40.485,1:40.485,100.485,100.485,,1 1:35.051,1:35.051,95.051,95.051,,1 1:32.043,1:32.043,92.043,92.043,,1 1:29.104,1:29.104,89.104,89.104,,1 1:33.729,1:33.729,93.729,93.729,,1 1:22.823,1:22.823,82.823,82.823,,1 1:24.225,1:24.225,84.225,84.225,,1 1:26.790,1:26.790,86.790,86.790,,1 1:20.518,1:20.518,80.518,80.518,,,,#VALUE!,#VALUE!,,1 1:14.191,1:14.191,74.191,74.191,,1 1:30.611,1:30.611,90.611,90.611,,1 1:36.641,1:36.641,96.641,96.641,,1 1:18.025,1:18.025,78.025,78.025,,1 1:19.601,1:19.601,79.601,79.601,,1 1:32.831,1:32.831,92.831,92.831,,1 1:12.014,1:12.014,72.014,72.014,,1 1:38.030,1:38.030,98.03,98.03,,1 1:08.922,1:08.922,68.922,68.922,,,RefTime,VER,PER,LEC,SAI,BOT,RUS,VET,STR,NOR,LAT,OCO,GAS,KVY,RIC,ALB,AIT,MAG,FIT,RAI,GIO
,,#VALUE!,#VALUE!,,2 1:32.531,1:32.531,92.531,193.016,,2 1:34.286,1:34.286,94.286,189.337,,2 1:33.111,1:33.111,93.111,185.154,,2 1:33.198,1:33.198,93.198,182.302,,2 1:33.989,1:33.989,93.989,187.718,,2 1:33.553,1:33.553,93.553,176.376,,2 1:33.924,1:33.924,93.924,178.149,,2 1:32.827,1:32.827,92.827,179.617,,2 1:34.619,1:34.619,94.619,175.137,,,,#VALUE!,#VALUE!,,2 1:35.563,1:35.563,95.563,169.754,,2 1:33.259,1:33.259,93.259,183.87,,2 1:33.180,1:33.180,93.18,189.821,,2 1:33.786,1:33.786,93.786,171.811,,2 1:34.319,1:34.319,94.319,173.92,,2 1:33.445,1:33.445,93.445,186.276,,2 1:36.914,1:36.914,96.914,168.928,,2 1:34.001,1:34.001,94.001,192.031,,2 1:38.421,1:38.421,98.421,167.343,,1,62.932,,37.553,,11.259,9.082,5.990,23.858,17.586,26.172,30.797,21.293,19.891,16.669,15.093,29.111,32.119,27.679,33.709,35.098,29.899
,,#VALUE!,#VALUE!,,3 1:32.331,1:32.331,92.331,285.347,,3 1:30.745,1:30.745,90.745,280.082,,3 1:30.929,1:30.929,90.929,276.083,,3 1:31.167,1:31.167,91.167,273.469,,3 1:29.389,1:29.389,89.389,277.107,,3 1:31.409,1:31.409,91.409,267.785,,3 1:30.797,1:30.797,90.797,268.946,,3 1:31.236,1:31.236,91.236,270.853,,3 1:30.389,1:30.389,90.389,265.526,,,,#VALUE!,#VALUE!,,3 1:29.628,1:29.628,89.628,259.382,,3 1:30.789,1:30.789,90.789,274.659,,3 1:31.123,1:31.123,91.123,280.944,,3 1:30.443,1:30.443,90.443,262.254,,3 1:30.678,1:30.678,90.678,264.598,,3 1:31.983,1:31.983,91.983,278.259,,3 1:29.641,1:29.641,89.641,258.569,,3 1:30.648,1:30.648,90.648,282.679,,3 1:29.830,1:29.830,89.83,257.173,,2,125.865,,67.151,,43.889,43.063,41.478,53.752,49.272,56.437,61.853,52.284,50.511,48.055,45.946,59.289,63.472,58.005,63.956,66.166,60.411
,,#VALUE!,#VALUE!,,4 1:29.676,1:29.676,89.676,375.023,,4 1:30.538,1:30.538,90.538,370.620,,4 1:29.894,1:29.894,89.894,365.977,,4 1:29.521,1:29.521,89.521,362.990,,4 1:29.909,1:29.909,89.909,367.016,,4 1:29.513,1:29.513,89.513,357.298,,4 1:29.625,1:29.625,89.625,358.571,,4 1:30.514,1:30.514,90.514,361.367,,4 1:30.509,1:30.509,90.509,356.035,,,,#VALUE!,#VALUE!,,4 1:32.053,1:32.053,92.053,351.435,,4 1:29.707,1:29.707,89.707,364.366,,4 1:31.219,1:31.219,91.219,372.163,,4 1:30.233,1:30.233,90.233,352.487,,4 1:29.735,1:29.735,89.735,354.333,,4 1:29.852,1:29.852,89.852,368.111,,4 1:31.822,1:31.822,91.822,350.391,,4 1:31.412,1:31.412,91.412,374.091,,4 1:32.256,1:32.256,92.256,349.429,,3,188.797,,96.550,,70.585,69.772,68.376,82.056,76.729,84.672,88.310,80.149,78.988,75.801,73.457,87.286,91.285,85.862,92.147,93.882,89.462
,,#VALUE!,#VALUE!,,5 1:31.635,1:31.635,91.635,466.658,,5 1:32.414,1:32.414,92.414,463.034,,5 1:32.214,1:32.214,92.214,458.191,,5 1:33.888,1:33.888,93.888,456.878,,5 1:33.586,1:33.586,93.586,460.602,,5 1:32.311,1:32.311,92.311,449.609,,5 1:32.817,1:32.817,92.817,451.388,,5 1:33.130,1:33.130,93.130,454.497,,5 1:31.719,1:31.719,91.719,447.754,,,,#VALUE!,#VALUE!,,5 1:30.161,1:30.161,90.161,441.596,,5 1:35.575,1:35.575,95.575,459.941,,5 1:31.944,1:31.944,91.944,464.107,,5 1:31.533,1:31.533,91.533,444.02,,5 1:31.994,1:31.994,91.994,446.327,,5 1:33.552,1:33.552,93.552,461.663,,5 1:30.462,1:30.462,90.462,440.853,,5 1:31.130,1:31.130,91.13,465.221,,5 1:30.133,1:30.133,90.133,439.562,,4,251.729,,123.294,,99.706,98.662,97.700,109.638,104.306,111.261,115.287,106.842,105.569,102.604,100.758,114.248,118.891,112.637,120.434,122.362,116.382
,,#VALUE!,#VALUE!,,6 1:10.061,1:10.061,70.061,536.719,,6 1:11.998,1:11.998,71.998,535.032,,6 1:14.614,1:14.614,74.614,532.805,,6 1:15.339,1:15.339,75.339,532.217,,6 1:12.926,1:12.926,72.926,533.528,,6 1:21.472,1:21.472,81.472,531.081,,6 1:20.122,1:20.122,80.122,531.510,,6 1:17.607,1:17.607,77.607,532.104,,6 1:22.843,1:22.843,82.843,530.597,,,,#VALUE!,#VALUE!,,6 1:27.502,1:27.502,87.502,529.098,,6 1:13.441,1:13.441,73.441,533.382,,6 1:11.799,1:11.799,71.799,535.906,,6 1:25.655,1:25.655,85.655,529.675,,6 1:23.865,1:23.865,83.865,530.192,,6 1:12.671,1:12.671,72.671,534.334,,6 1:28.014,1:28.014,88.014,528.867,,6 1:11.179,1:11.179,71.179,536.4,,6 1:28.698,1:28.698,88.698,528.26,,5,314.662,,151.996,,126.934,126.191,124.900,139.835,133.092,142.216,145.940,136.726,134.947,131.665,129.358,143.529,148.372,145.279,149.445,150.559,147.001
,,#VALUE!,#VALUE!,,7 0:59.233,0:59.233,59.233,595.952,,7 1:00.720,1:00.720,60.720,595.752,,7 1:00.507,1:00.507,60.507,593.312,,7 1:00.390,1:00.390,60.390,592.607,,7 1:01.408,1:01.408,61.408,594.936,,7 0:59.592,0:59.592,59.592,590.673,,7 0:59.717,0:59.717,59.717,591.227,,7 1:00.094,1:00.094,60.094,592.198,,7 0:59.626,0:59.626,59.626,590.223,,,,#VALUE!,#VALUE!,,7 0:59.252,0:59.252,59.252,588.35,,7 1:00.991,1:00.991,60.991,594.373,,7 1:00.520,1:00.520,60.52,596.426,,7 0:59.429,0:59.429,59.429,589.104,,7 0:59.528,0:59.528,59.528,589.72,,7 1:00.959,1:00.959,60.959,595.293,,7 0:58.679,0:58.679,58.679,587.546,,7 1:00.593,1:00.593,60.593,596.993,,7 0:58.160,0:58.160,58.16,586.42,,6,377.594,,159.125,,151.504,151.273,150.666,154.510,153.003,154.623,155.934,153.916,153.487,152.598,152.081,155.211,157.438,155.788,158.312,158.806,156.740
,,#VALUE!,#VALUE!,,8 0:59.698,0:59.698,59.698,655.650,,8 1:00.981,1:00.981,60.981,656.733,,8 0:59.490,0:59.490,59.490,652.802,,8 0:59.242,0:59.242,59.242,651.849,,8 1:00.136,1:00.136,60.136,655.072,,8 0:59.323,0:59.323,59.323,649.996,,8 0:59.450,0:59.450,59.450,650.677,,8 1:00.729,1:00.729,60.729,652.927,,8 0:59.239,0:59.239,59.239,649.462,,,,#VALUE!,#VALUE!,,8 0:58.824,0:58.824,58.824,647.174,,8 0:59.709,0:59.709,59.709,654.082,,8 1:01.593,1:01.593,61.593,658.019,,8 0:59.060,0:59.060,59.06,648.164,,8 0:59.136,0:59.136,59.136,648.856,,8 1:00.648,1:00.648,60.648,655.941,,8 0:58.692,0:58.692,58.692,646.238,,8 1:00.346,1:00.346,60.346,657.339,,8 0:58.236,0:58.236,58.236,644.656,,7,440.526,,155.426,,147.824,147.020,145.894,151.672,149.697,152.081,154.410,150.701,150.147,149.194,148.578,152.786,155.226,153.847,155.900,156.467,154.767
,,#VALUE!,#VALUE!,,9 0:58.746,0:58.746,58.746,714.396,,9 1:00.011,1:00.011,60.011,716.744,,9 1:00.000,1:00.000,60.000,712.802,,9 0:58.936,0:58.936,58.936,710.785,,9 1:00.554,1:00.554,60.554,715.626,,9 0:58.997,0:58.997,58.997,708.993,,9 0:59.452,0:59.452,59.452,710.129,,9 0:59.187,0:59.187,59.187,712.114,,9 0:58.710,0:58.710,58.710,708.172,,,,#VALUE!,#VALUE!,,9 0:58.789,0:58.789,58.789,705.963,,9 0:59.875,0:59.875,59.875,713.957,,9 1:00.054,1:00.054,60.054,718.073,,9 0:58.716,0:58.716,58.716,706.88,,9 0:58.667,0:58.667,58.667,707.523,,9 1:00.178,1:00.178,60.178,716.119,,9 0:58.284,0:58.284,58.284,704.522,,9 1:00.162,1:00.162,60.162,717.501,,9 0:58.059,0:58.059,58.059,702.715,,8,503.459,,152.191,,143.715,142.779,141.197,149.468,146.003,148.390,151.613,147.218,146.537,145.397,144.705,149.343,153.274,150.623,154.560,153.880,152.482
,,#VALUE!,#VALUE!,,10 0:58.095,0:58.095,58.095,772.491,,10 1:01.550,1:01.550,61.550,778.294,,10 0:58.940,0:58.940,58.940,771.742,,10 0:59.055,0:59.055,59.055,769.840,,10 1:00.107,1:00.107,60.107,775.733,,10 0:58.558,0:58.558,58.558,767.551,,10 0:58.794,0:58.794,58.794,768.923,,10 0:59.114,0:59.114,59.114,771.228,,10 0:58.894,0:58.894,58.894,767.066,,,,#VALUE!,#VALUE!,,10 0:58.779,0:58.779,58.779,764.742,,10 1:00.093,1:00.093,60.093,774.05,,10 1:00.674,1:00.674,60.674,778.747,,10 0:58.856,0:58.856,58.856,765.736,,10 0:58.888,0:58.888,58.888,766.411,,10 1:00.796,1:00.796,60.796,776.915,,10 0:58.458,0:58.458,58.458,762.98,,10 1:00.419,1:00.419,60.419,777.92,,10 0:58.329,0:58.329,58.329,761.044,,9,566.391,,148.005,,139.572,138.131,136.324,145.723,141.781,144.394,149.235,143.738,142.602,141.132,140.489,146.411,150.353,147.566,151.682,151.110,149.728
,,#VALUE!,#VALUE!,,11 0:59.438,0:59.438,59.438,831.929,,11 1:00.576,1:00.576,60.576,838.870,,11 0:59.384,0:59.384,59.384,831.126,,11 0:59.046,0:59.046,59.046,828.886,,11 0:59.644,0:59.644,59.644,835.377,,11 0:58.884,0:58.884,58.884,826.435,,11 0:58.848,0:58.848,58.848,827.771,,11 1:01.424,1:01.424,61.424,832.652,,11 0:58.730,0:58.730,58.730,825.796,,,,#VALUE!,#VALUE!,,11 0:58.637,0:58.637,58.637,823.379,,11 0:59.805,0:59.805,59.805,833.855,,11 1:01.830,1:01.830,61.83,840.577,,11 0:58.546,0:58.546,58.546,824.282,,11 0:58.587,0:58.587,58.587,824.998,,11 0:59.474,0:59.474,59.474,836.389,,11 0:58.091,0:58.091,58.091,821.071,,11 1:02.009,1:02.009,62.009,839.929,,11 0:58.252,0:58.252,58.252,819.296,,10,629.323,,143.168,,135.419,133.657,131.721,141.905,137.743,140.517,146.410,139.600,138.228,137.088,136.413,142.419,148.971,144.727,149.424,148.597,147.592
,,#VALUE!,#VALUE!,,12 0:59.026,0:59.026,59.026,890.955,,12 0:59.699,0:59.699,59.699,898.569,,12 0:58.923,0:58.923,58.923,890.049,,12 0:59.342,0:59.342,59.342,888.228,,12 0:59.647,0:59.647,59.647,895.024,,12 0:58.749,0:58.749,58.749,885.184,,12 0:58.986,0:58.986,58.986,886.757,,12 0:59.519,0:59.519,59.519,892.171,,12 0:58.630,0:58.630,58.630,884.426,,,,#VALUE!,#VALUE!,,12 0:58.741,0:58.741,58.741,882.12,,12 1:00.033,1:00.033,60.033,893.888,,12 1:00.158,1:00.158,60.158,900.735,,12 0:58.774,0:58.774,58.774,883.056,,12 0:58.809,0:58.809,58.809,883.807,,12 0:59.543,0:59.543,59.543,895.932,,12 0:58.258,0:58.258,58.258,879.329,,12 0:59.934,0:59.934,59.934,899.863,,12 0:58.223,0:58.223,58.223,877.519,,11,692.256,,139.673,,131.123,128.815,127.040,140.396,133.540,136.630,143.121,135.515,134.179,132.742,132.026,138.870,146.614,141.599,148.321,147.673,144.133
,,#VALUE!,#VALUE!,,13 0:58.651,0:58.651,58.651,949.606,,13 0:59.737,0:59.737,59.737,958.306,,13 0:58.760,0:58.760,58.760,948.809,,13 0:59.230,0:59.230,59.230,947.458,,13 0:59.733,0:59.733,59.733,954.757,,13 0:58.815,0:58.815,58.815,943.999,,13 0:58.910,0:58.910,58.910,945.667,,13 0:59.457,0:59.457,59.457,951.628,,13 0:59.008,0:59.008,59.008,943.434,,,,#VALUE!,#VALUE!,,13 0:58.980,0:58.980,58.98,941.1,,13 0:59.956,0:59.956,59.956,953.844,,13 0:59.978,0:59.978,59.978,960.713,,13 0:59.070,0:59.070,59.07,942.126,,13 0:58.955,0:58.955,58.955,942.762,,13 0:59.661,0:59.661,59.661,955.593,,13 0:58.528,0:58.528,58.528,937.857,,13 1:00.015,1:00.015,60.015,959.878,,13 0:58.210,0:58.210,58.21,935.729,,12,755.188,,135.767,,126.932,124.141,122.331,136.983,129.238,133.040,139.836,131.569,129.996,128.619,127.868,134.861,143.381,138.700,145.547,144.675,140.744
,,#VALUE!,#VALUE!,,14 0:58.719,0:58.719,58.719,1008.325,,14 0:59.837,0:59.837,59.837,1018.143,,14 0:58.852,0:58.852,58.852,1007.661,,14 0:59.144,0:59.144,59.144,1006.602,,14 0:59.581,0:59.581,59.581,1014.338,,14 0:58.950,0:58.950,58.950,1002.949,,14 0:59.209,0:59.209,59.209,1004.876,,14 0:59.444,0:59.444,59.444,1011.072,,14 0:58.889,0:58.889,58.889,1002.323,,,,#VALUE!,#VALUE!,,14 0:58.920,0:58.920,58.92,1000.02,,14 0:59.709,0:59.709,59.709,1013.553,,14 0:59.997,0:59.997,59.997,1020.71,,14 0:58.891,0:58.891,58.891,1001.017,,14 0:59.074,0:59.074,59.074,1001.836,,14 0:59.547,0:59.547,59.547,1015.14,,14 0:58.412,0:58.412,58.412,996.269,,14 1:00.152,1:00.152,60.152,1020.03,,14 0:58.258,0:58.258,58.258,993.987,,13,818.120,,131.486,,122.980,119.737,117.609,133.508,125.314,129.338,136.637,127.547,125.879,124.642,124.006,130.689,140.186,135.724,142.593,141.758,137.473
,,#VALUE!,#VALUE!,,15 0:58.878,0:58.878,58.878,1067.203,,15 0:59.679,0:59.679,59.679,1077.822,,15 0:58.920,0:58.920,58.920,1066.581,,15 0:58.974,0:58.974,58.974,1065.576,,15 0:59.475,0:59.475,59.475,1073.813,,15 0:59.014,0:59.014,59.014,1061.963,,15 0:59.048,0:59.048,59.048,1063.924,,15 0:59.488,0:59.488,59.488,1070.560,,15 0:58.943,0:58.943,58.943,1061.266,,,,#VALUE!,#VALUE!,,15 0:58.844,0:58.844,58.844,1058.864,,15 0:59.750,0:59.750,59.75,1073.303,,15 1:00.167,1:00.167,60.167,1080.877,,15 0:59.036,0:59.036,59.036,1060.053,,15 0:58.916,0:58.916,58.916,1060.752,,15 0:59.385,0:59.385,59.385,1074.525,,15 0:58.323,0:58.323,58.323,1054.592,,15 0:59.905,0:59.905,59.905,1079.935,,15 0:58.351,0:58.351,58.351,1052.338,,14,881.053,,127.272,,118.967,115.216,112.934,130.019,121.270,125.549,133.285,123.823,121.896,120.783,119.964,126.608,137.090,132.500,139.657,138.977,134.087
,,#VALUE!,#VALUE!,,16 0:58.710,0:58.710,58.710,1125.913,,16 0:59.608,0:59.608,59.608,1137.430,,16 0:58.745,0:58.745,58.745,1125.326,,16 0:59.019,0:59.019,59.019,1124.595,,16 1:00.025,1:00.025,60.025,1133.838,,16 0:59.078,0:59.078,59.078,1121.041,,16 0:59.102,0:59.102,59.102,1123.026,,16 0:59.455,0:59.455,59.455,1130.015,,16 0:59.103,0:59.103,59.103,1120.369,,,,#VALUE!,#VALUE!,,16 0:58.824,0:58.824,58.824,1117.688,,16 1:02.312,1:02.312,62.312,1135.615,,16 0:59.951,0:59.951,59.951,1140.828,,16 0:58.800,0:58.800,58.8,1118.853,,16 0:58.972,0:58.972,58.972,1119.724,,16 1:00.155,1:00.155,60.155,1134.68,,16 0:58.245,0:58.245,58.245,1112.837,,16 0:59.961,0:59.961,59.961,1139.896,,16 0:58.008,0:58.008,58.008,1110.346,,15,943.985,,123.218,,114.879,110.607,108.353,126.575,117.281,121.591,129.828,119.939,117.978,116.767,116.068,122.596,133.837,129.318,136.892,135.950,130.540
,,#VALUE!,#VALUE!,,17 0:58.878,0:58.878,58.878,1184.791,,17 0:59.823,0:59.823,59.823,1197.253,,17 0:58.890,0:58.890,58.890,1184.216,,17 0:58.992,0:58.992,58.992,1183.587,,17 0:59.429,0:59.429,59.429,1193.267,,17 0:58.741,0:58.741,58.741,1179.782,,17 0:58.811,0:58.811,58.811,1181.837,,17 0:59.122,0:59.122,59.122,1189.137,,17 0:58.794,0:58.794,58.794,1179.163,,,,#VALUE!,#VALUE!,,17 0:58.924,0:58.924,58.924,1176.612,,17 0:59.770,0:59.770,59.77,1195.385,,17 0:59.889,0:59.889,59.889,1200.717,,17 0:58.821,0:58.821,58.821,1177.674,,17 0:58.775,0:58.775,58.775,1178.499,,17 0:59.333,0:59.333,59.333,1194.013,,17 0:57.978,0:57.978,57.978,1170.815,,17 1:00.036,1:00.036,60.036,1199.932,,17 0:58.169,0:58.169,58.169,1168.515,,16,1006.918,,118.995,,110.770,105.919,103.428,123.097,113.451,117.677,126.920,116.108,114.123,112.806,111.935,118.408,130.512,128.697,133.910,132.978,127.762
,,#VALUE!,#VALUE!,,18 0:59.089,0:59.089,59.089,1243.880,,18 0:59.805,0:59.805,59.805,1257.058,,18 0:59.241,0:59.241,59.241,1243.457,,18 0:59.291,0:59.291,59.291,1242.878,,18 0:59.351,0:59.351,59.351,1252.618,,18 0:59.130,0:59.130,59.130,1238.912,,18 0:58.959,0:58.959,58.959,1240.796,,18 0:59.126,0:59.126,59.126,1248.263,,18 0:58.967,0:58.967,58.967,1238.130,,,,#VALUE!,#VALUE!,,18 0:58.662,0:58.662,58.662,1235.274,,18 0:59.653,0:59.653,59.653,1255.038,,18 0:59.988,0:59.988,59.988,1260.705,,18 0:58.826,0:58.826,58.826,1236.5,,18 0:58.983,0:58.983,58.983,1237.482,,18 0:59.500,0:59.500,59.5,1253.513,,18 0:58.023,0:58.023,58.023,1228.838,,18 1:00.099,1:00.099,60.099,1260.031,,18 0:58.034,0:58.034,58.034,1226.549,,17,1069.850,,114.941,,106.762,100.965,98.665,119.287,109.313,113.737,123.417,111.987,109.932,108.649,107.824,114.366,127.403,125.535,130.867,130.082,124.163
,,#VALUE!,#VALUE!,,19 0:59.452,0:59.452,59.452,1303.332,,19 0:59.477,0:59.477,59.477,1316.535,,19 0:59.410,0:59.410,59.410,1302.867,,19 0:59.401,0:59.401,59.401,1302.279,,19 0:59.564,0:59.564,59.564,1312.182,,19 0:58.877,0:58.877,58.877,1297.789,,19 0:58.687,0:58.687,58.687,1299.483,,19 0:59.211,0:59.211,59.211,1307.474,,19 0:58.944,0:58.944,58.944,1297.074,,,,#VALUE!,#VALUE!,,19 0:58.773,0:58.773,58.773,1294.047,,19 0:59.741,0:59.741,59.741,1314.779,,19 1:00.883,1:00.883,60.883,1321.588,,19 0:59.090,0:59.090,59.09,1295.59,,19 0:58.895,0:58.895,58.895,1296.377,,19 0:59.528,0:59.528,59.528,1313.041,,19 0:58.087,0:58.087,58.087,1286.925,,19 1:00.240,1:00.240,60.24,1320.271,,19 0:58.315,0:58.315,58.315,1284.864,,18,1132.782,,111.098,,102.492,96.056,93.767,115.481,105.348,110.096,119.836,108.014,106.130,104.700,103.718,110.675,124.276,122.256,127.923,127.249,120.731
,,#VALUE!,#VALUE!,,20 0:58.756,0:58.756,58.756,1362.088,,20 0:59.505,0:59.505,59.505,1376.040,,20 0:58.557,0:58.557,58.557,1361.424,,20 P 1:03.383,1:03.383,63.383,1365.662,,20 0:59.415,0:59.415,59.415,1371.597,,20 0:58.767,0:58.767,58.767,1356.556,,20 0:58.787,0:58.787,58.787,1358.270,,20 0:59.325,0:59.325,59.325,1366.799,,20 0:58.782,0:58.782,58.782,1355.856,,,,#VALUE!,#VALUE!,,20 0:58.769,0:58.769,58.769,1352.816,,20 0:59.674,0:59.674,59.674,1374.453,,20 0:59.939,0:59.939,59.939,1381.527,,20 0:58.796,0:58.796,58.796,1354.386,,20 0:58.932,0:58.932,58.932,1355.309,,20 0:59.458,0:59.458,59.458,1372.499,,20 0:58.142,0:58.142,58.142,1345.067,,20 0:59.888,0:59.888,59.888,1380.159,,20 0:58.091,0:58.091,58.091,1342.955,,19,1195.715,,107.617,,98.332,91.210,89.149,111.759,101.359,106.564,116.467,103.768,102.074,100.662,99.875,107.152,120.820,119.064,125.873,124.556,117.326
,,#VALUE!,#VALUE!,,21 0:58.861,0:58.861,58.861,1420.949,,21 0:59.564,0:59.564,59.564,1435.604,,21 1:00.451,1:00.451,60.451,1421.875,,21 1:19.805,1:19.805,79.805,1445.467,,21 0:59.581,0:59.581,59.581,1431.178,,21 0:58.999,0:58.999,58.999,1415.555,,21 0:58.895,0:58.895,58.895,1417.165,,21 0:59.857,0:59.857,59.857,1426.656,,21 0:58.949,0:58.949,58.949,1414.805,,,,#VALUE!,#VALUE!,,21 0:58.868,0:58.868,58.868,1411.684,,21 0:59.724,0:59.724,59.724,1434.177,,21 0:59.960,0:59.960,59.96,1441.487,,21 0:58.792,0:58.792,58.792,1413.178,,21 0:58.784,0:58.784,58.784,1414.093,,21 0:59.526,0:59.526,59.526,1432.025,,21 0:57.993,0:57.993,57.993,1403.06,,21 1:00.120,1:00.120,60.12,1440.279,,21 0:58.092,0:58.092,58.092,1401.047,,20,1258.647,,103.441,,94.169,86.420,84.308,108.152,97.209,107.015,112.950,99.623,97.909,96.662,95.739,102.777,117.393,115.806,122.880,121.512,113.852
