33 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,89 Jack AITKEN,,AIT_Laptime_s,AIT_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,6 Nicholas LATIFI,,NL_Laptime_s,NL_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,5 Seb VETTEL,,SV_Laptime_s,SV_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CS_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,51 Pietro FITTIPALDI,,PF_Laptime_s,PF_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,26 Daniil Kvyat,,DK_Laptime_s,DK_Cumulative,,99 Antonio GIO,,AG_Laptime_s,AG_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,7 Kimi RAI,,KR_Laptime_s,KR_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RP1,SF1,MCL2,M-AMG1,M_AMG2,SF2,RP2,MCL1,WIL1,REN1,ATO1,ATO2,REN2,RBR2,WIL2,HAS1,HAS2,SAUB1,SAUB2
,,#VALUE!,#VALUE!,,22 0:58.775,0:58.775,58.775,1479.724,,22 0:59.983,0:59.983,59.983,1495.587,,22 0:58.729,0:58.729,58.729,1480.604,,22 0:58.972,0:58.972,58.972,1504.439,,22 0:59.340,0:59.340,59.34,1490.518,,22 0:59.025,0:59.025,59.025,1474.580,,22 0:59.106,0:59.106,59.106,1476.271,,22 0:59.310,0:59.310,59.310,1485.966,,22 0:58.962,0:58.962,58.962,1473.767,,,,#VALUE!,#VALUE!,,22 0:58.789,0:58.789,58.789,1470.473,,22 0:59.789,0:59.789,59.789,1493.966,,22 0:59.964,0:59.964,59.964,1501.451,,22 0:58.785,0:58.785,58.785,1471.963,,22 0:58.900,0:58.900,58.9,1472.993,,22 0:59.540,0:59.540,59.54,1491.565,,22 0:58.165,0:58.165,58.165,1461.225,,22 0:59.834,0:59.834,59.834,1500.113,,22 0:58.256,0:58.256,58.256,1459.303,,21,1321.579,,99.370,,90.105,81.481,79.468,105.077,93.226,123.888,109.599,95.586,93.976,92.514,91.599,100.296,114.025,112.598,119.908,118.700,110.446
,,#VALUE!,#VALUE!,,23 0:59.136,0:59.136,59.136,1538.860,,23 0:59.501,0:59.501,59.501,1555.088,,23 0:59.053,0:59.053,59.053,1539.657,,23 0:58.568,0:58.568,58.568,1563.007,,23 0:59.551,0:59.551,59.551,1550.069,,23 0:58.972,0:58.972,58.972,1533.552,,23 0:58.928,0:58.928,58.928,1535.199,,23 0:59.456,0:59.456,59.456,1545.422,,23 0:59.015,0:59.015,59.015,1532.782,,,,#VALUE!,#VALUE!,,23 0:58.627,0:58.627,58.627,1529.1,,23 0:59.666,0:59.666,59.666,1553.632,,23 0:59.863,0:59.863,59.863,1561.314,,23 0:58.977,0:58.977,58.977,1530.94,,23 0:59.029,0:59.029,59.029,1532.022,,23 0:59.590,0:59.590,59.59,1551.155,,23 0:58.022,0:58.022,58.022,1519.247,,23 P 1:02.177,1:02.177,62.177,1562.29,,23 0:57.955,0:57.955,57.955,1517.258,,22,1384.512,,95.212,,85.961,76.713,74.791,101.454,89.255,119.927,106.006,91.759,90.068,88.481,87.451,96.092,111.075,109.454,116.939,115.601,107.053
,,#VALUE!,#VALUE!,,24 0:58.642,0:58.642,58.642,1597.502,,24 0:59.580,0:59.580,59.580,1614.668,,24 0:58.713,0:58.713,58.713,1598.370,,24 0:58.800,0:58.800,58.800,1621.807,,24 0:59.518,0:59.518,59.518,1609.587,,24 0:59.101,0:59.101,59.101,1592.653,,24 0:59.107,0:59.107,59.107,1594.306,,24 0:59.118,0:59.118,59.118,1604.540,,24 0:59.078,0:59.078,59.078,1591.860,,,,#VALUE!,#VALUE!,,24 0:58.739,0:58.739,58.739,1587.839,,24 0:59.650,0:59.650,59.65,1613.282,,24 1:00.152,1:00.152,60.152,1621.466,,24 0:58.804,0:58.804,58.804,1589.744,,24 0:59.105,0:59.105,59.105,1591.127,,24 0:59.482,0:59.482,59.482,1610.637,,24 0:58.099,0:58.099,58.099,1577.346,,24 1:24.937,1:24.937,84.937,1647.227,,24 0:58.198,0:58.198,58.198,1575.456,,23,1447.444,,91.416,,81.656,71.803,69.814,97.978,85.338,115.563,102.625,87.755,86.108,84.578,83.496,92.213,107.644,106.188,113.870,114.846,103.711
,,#VALUE!,#VALUE!,,25 0:58.604,0:58.604,58.604,1656.106,,25 0:59.700,0:59.700,59.700,1674.368,,25 0:58.839,0:58.839,58.839,1657.209,,25 0:58.426,0:58.426,58.426,1680.233,,25 0:59.577,0:59.577,59.577,1669.164,,25 0:59.153,0:59.153,59.153,1651.806,,25 0:58.956,0:58.956,58.956,1653.262,,25 0:59.190,0:59.190,59.190,1663.730,,25 0:59.174,0:59.174,59.174,1651.034,,,,#VALUE!,#VALUE!,,25 0:58.571,0:58.571,58.571,1646.41,,25 0:59.922,0:59.922,59.922,1673.204,,25 1:00.840,1:00.840,60.84,1682.306,,25 0:59.058,0:59.058,59.058,1648.802,,25 0:59.122,0:59.122,59.122,1650.249,,25 0:59.611,0:59.611,59.611,1670.248,,25 0:58.203,0:58.203,58.203,1635.549,,25 0:58.730,0:58.730,58.73,1705.957,,25 0:58.021,0:58.021,58.021,1633.477,,24,1510.376,,87.126,,77.463,66.970,65.080,94.164,81.484,111.431,99.211,83.930,82.277,80.751,79.368,87.994,104.292,102.906,111.090,136.851,100.261
,,#VALUE!,#VALUE!,,26 0:58.338,0:58.338,58.338,1714.444,,26 0:59.828,0:59.828,59.828,1734.196,,26 0:58.754,0:58.754,58.754,1715.963,,26 0:58.101,0:58.101,58.101,1738.334,,26 0:59.639,0:59.639,59.639,1728.803,,26 0:59.161,0:59.161,59.161,1710.967,,26 0:59.184,0:59.184,59.184,1712.446,,26 0:59.819,0:59.819,59.819,1723.549,,26 0:59.048,0:59.048,59.048,1710.082,,,,#VALUE!,#VALUE!,,26 0:58.799,0:58.799,58.799,1705.209,,26 P 1:02.462,1:02.462,62.462,1735.666,,26 1:00.437,1:00.437,60.437,1742.743,,26 0:58.927,0:58.927,58.927,1707.729,,26 0:59.106,0:59.106,59.106,1709.355,,26 P 1:02.795,1:02.795,62.795,1733.043,,26 0:58.180,0:58.180,58.18,1693.729,,26 0:58.564,0:58.564,58.564,1764.521,,26 0:58.007,0:58.007,58.007,1691.484,,25,1573.309,,82.797,,73.101,62.240,60.168,90.421,77.725,106.924,95.855,79.953,78.497,76.940,75.493,83.900,101.059,99.895,108.997,132.648,96.939
,,#VALUE!,#VALUE!,,27 0:58.601,0:58.601,58.601,1773.045,,27 0:59.139,0:59.139,59.139,1793.335,,27 0:58.728,0:58.728,58.728,1774.691,,27 0:58.497,0:58.497,58.497,1796.831,,27 P 1:02.230,1:02.230,62.23,1791.033,,27 0:59.016,0:59.016,59.016,1769.983,,27 0:58.865,0:58.865,58.865,1771.311,,27 0:59.390,0:59.390,59.390,1782.939,,27 0:59.100,0:59.100,59.100,1769.182,,,,#VALUE!,#VALUE!,,27 0:58.635,0:58.635,58.635,1763.844,,27 1:19.826,1:19.826,79.826,1815.492,,27 1:00.057,1:00.057,60.057,1802.8,,27 0:58.765,0:58.765,58.765,1766.494,,27 P 1:01.498,1:01.498,61.498,1770.853,,27 1:19.408,1:19.408,79.408,1812.451,,27 0:58.151,0:58.151,58.151,1751.88,,27 0:59.255,0:59.255,59.255,1823.776,,27 0:57.975,0:57.975,57.975,1749.459,,26,1636.241,,78.203,,68.968,57.488,55.243,87.308,73.841,102.093,92.562,76.205,74.726,73.114,71.488,79.722,97.955,99.425,106.502,128.280,96.802
,,#VALUE!,#VALUE!,,28 0:58.558,0:58.558,58.558,1831.603,,28 0:59.278,0:59.278,59.278,1852.613,,28 0:58.565,0:58.565,58.565,1833.256,,28 0:58.313,0:58.313,58.313,1855.144,,28 1:18.978,1:18.978,78.978,1870.011,,28 P 1:01.367,1:01.367,61.367,1831.350,,28 0:58.922,0:58.922,58.922,1830.233,,28 0:59.231,0:59.231,59.231,1842.170,,28 0:58.565,0:58.565,58.565,1827.747,,,,#VALUE!,#VALUE!,,28 P 1:02.082,1:02.082,62.082,1825.926,,28 0:58.483,0:58.483,58.483,1873.975,,28 0:59.978,0:59.978,59.978,1862.778,,28 0:58.673,0:58.673,58.673,1825.167,,28 1:17.989,1:17.989,77.989,1848.842,,28 0:58.320,0:58.320,58.32,1870.771,,28 0:58.473,0:58.473,58.473,1810.353,,28 0:58.322,0:58.322,58.322,1882.098,,28 0:58.367,0:58.367,58.367,1807.826,,27,1699.173,,73.872,,64.671,52.707,50.286,83.766,70.009,97.658,91.860,72.138,70.810,71.680,67.321,75.518,94.162,116.319,103.627,124.603,113.278
,,#VALUE!,#VALUE!,,29 0:58.617,0:58.617,58.617,1890.220,,29 0:59.802,0:59.802,59.802,1912.415,,29 0:58.788,0:58.788,58.788,1892.044,,29 0:58.592,0:58.592,58.592,1913.736,,29 0:58.206,0:58.206,58.206,1928.217,,29 1:19.283,1:19.283,79.283,1910.633,,29 0:58.561,0:58.561,58.561,1888.794,,29 0:59.343,0:59.343,59.343,1901.513,,29 0:58.791,0:58.791,58.791,1886.538,,,,#VALUE!,#VALUE!,,29 1:18.523,1:18.523,78.523,1904.449,,29 0:58.241,0:58.241,58.241,1932.216,,29 0:59.832,0:59.832,59.832,1922.61,,29 P 1:01.391,1:01.391,61.391,1886.558,,29 0:57.580,0:57.580,57.58,1906.422,,29 0:58.468,0:58.468,58.468,1929.239,,29 0:58.239,0:58.239,58.239,1868.592,,29 0:58.727,0:58.727,58.727,1940.825,,29 0:58.052,0:58.052,58.052,1865.878,,28,1762.106,,69.497,,63.820,48.247,45.720,80.064,65.641,93.038,107.905,68.127,69.244,86.736,63.061,71.150,90.507,111.869,100.672,119.992,108.665
,,#VALUE!,#VALUE!,,30 0:58.710,0:58.710,58.710,1948.930,,30 0:59.800,0:59.800,59.800,1972.215,,30 0:58.678,0:58.678,58.678,1950.722,,30 0:58.911,0:58.911,58.911,1972.647,,30 0:58.523,0:58.523,58.523,1986.74,,30 0:57.870,0:57.870,57.870,1968.503,,30 0:58.579,0:58.579,58.579,1947.373,,30 0:59.815,0:59.815,59.815,1961.328,,30 0:58.706,0:58.706,58.706,1945.244,,,,#VALUE!,#VALUE!,,30 0:58.196,0:58.196,58.196,1962.645,,30 0:58.394,0:58.394,58.394,1990.61,,30 1:01.539,1:01.539,61.539,1984.149,,30 1:18.489,1:18.489,78.489,1965.047,,30 0:57.803,0:57.803,57.803,1964.225,,30 0:58.418,0:58.418,58.418,1987.657,,30 0:58.262,0:58.262,58.262,1926.854,,30 0:58.551,0:58.551,58.551,1999.376,,30 0:58.052,0:58.052,58.052,1923.93,,29,1825.038,,65.182,,79.411,43.554,40.840,76.475,61.500,88.698,103.179,63.756,85.595,81.384,61.520,67.006,87.377,107.178,97.572,115.787,104.201
,,#VALUE!,#VALUE!,,31 0:58.545,0:58.545,58.545,2007.475,,31 P 1:02.810,1:02.810,62.810,2035.025,,31 0:58.826,0:58.826,58.826,2009.548,,31 0:58.105,0:58.105,58.105,2030.752,,31 0:58.890,0:58.890,58.89,2045.63,,31 0:57.954,0:57.954,57.954,2026.457,,31 0:58.710,0:58.710,58.710,2006.083,,31 P 1:02.108,1:02.108,62.108,2023.436,,31 0:58.952,0:58.952,58.952,2004.196,,,,#VALUE!,#VALUE!,,31 0:58.500,0:58.500,58.5,2021.145,,31 0:58.528,0:58.528,58.528,2049.138,,31 P 1:04.341,1:04.341,64.341,2048.49,,31 0:58.137,0:58.137,58.137,2023.184,,31 0:57.962,0:57.962,57.962,2022.187,,31 0:58.681,0:58.681,58.681,2046.338,,31 0:58.370,0:58.370,58.37,1985.224,,31 0:58.544,0:58.544,58.544,2057.92,,31 0:58.260,0:58.260,58.26,1982.19,,30,1887.970,,60.960,,74.675,38.884,35.960,73.358,57.274,84.677,98.770,59.403,80.533,76.255,77.077,62.752,84.245,102.640,96.179,111.406,99.687
,,#VALUE!,#VALUE!,,32 0:58.624,0:58.624,58.624,2066.099,,32 1:20.577,1:20.577,80.577,2115.602,,32 0:59.243,0:59.243,59.243,2068.791,,32 0:58.305,0:58.305,58.305,2089.057,,32 0:58.973,0:58.973,58.973,2104.603,,32 0:58.156,0:58.156,58.156,2084.613,,32 0:58.757,0:58.757,58.757,2064.840,,32 1:20.312,1:20.312,80.312,2103.748,,32 0:58.762,0:58.762,58.762,2062.958,,,,#VALUE!,#VALUE!,,32 0:57.613,0:57.613,57.613,2078.758,,32 0:58.749,0:58.749,58.749,2107.887,,32 1:23.097,1:23.097,83.097,2131.587,,32 0:57.908,0:57.908,57.908,2081.092,,32 0:57.937,0:57.937,57.937,2080.124,,32 0:58.887,0:58.887,58.887,2105.225,,32 0:58.180,0:58.180,58.18,2043.404,,32 0:58.867,0:58.867,58.867,2116.787,,32 0:58.231,0:58.231,58.231,2040.421,,31,1950.903,,56.572,,70.242,34.321,31.287,72.533,53.293,79.849,94.727,55.180,75.554,71.284,72.281,58.645,84.122,98.235,97.587,107.017,95.435
,,#VALUE!,#VALUE!,,33 0:59.020,0:59.020,59.020,2125.119,,33 0:58.218,0:58.218,58.218,2173.820,,33 0:58.720,0:58.720,58.720,2127.511,,33 0:58.425,0:58.425,58.425,2147.482,,33 0:58.444,0:58.444,58.444,2163.047,,33 0:58.050,0:58.050,58.050,2142.663,,33 0:58.719,0:58.719,58.719,2123.559,,33 0:58.126,0:58.126,58.126,2161.874,,33 0:58.828,0:58.828,58.828,2121.786,,,,#VALUE!,#VALUE!,,33 0:58.157,0:58.157,58.157,2136.915,,33 0:58.710,0:58.710,58.71,2166.597,,33 0:58.330,0:58.330,58.33,2189.917,,33 0:57.736,0:57.736,57.736,2138.828,,33 0:58.057,0:58.057,58.057,2138.181,,33 0:58.839,0:58.839,58.839,2164.064,,33 0:58.156,0:58.156,58.156,2101.56,,33 0:58.802,0:58.802,58.802,2175.589,,33 0:58.433,0:58.433,58.433,2098.854,,32,2013.835,,52.264,,64.923,29.569,26.586,89.913,49.123,75.222,90.768,51.005,70.778,66.289,67.257,54.956,101.767,94.052,117.752,102.952,91.390
,,#VALUE!,#VALUE!,,34 0:58.698,0:58.698,58.698,2183.817,,34 0:58.046,0:58.046,58.046,2231.866,,34 0:58.985,0:58.985,58.985,2186.496,,34 0:58.684,0:58.684,58.684,2206.166,,34 0:58.755,0:58.755,58.755,2221.802,,34 0:58.357,0:58.357,58.357,2201.020,,34 0:58.781,0:58.781,58.781,2182.340,,34 0:58.126,0:58.126,58.126,2220.000,,34 0:58.833,0:58.833,58.833,2180.619,,,,#VALUE!,#VALUE!,,34 0:58.175,0:58.175,58.175,2195.09,,34 0:58.743,0:58.743,58.743,2225.34,,34 0:58.421,0:58.421,58.421,2248.338,,34 0:58.478,0:58.478,58.478,2197.306,,34 0:58.335,0:58.335,58.335,2196.516,,34 0:58.727,0:58.727,58.727,2222.791,,34 0:58.374,0:58.374,58.374,2159.934,,34 0:58.824,0:58.824,58.824,2234.413,,34 0:58.225,0:58.225,58.225,2157.079,,33,2076.767,,48.352,,60.148,24.793,22.087,85.107,45.019,70.715,86.280,46.792,65.896,61.414,62.061,50.744,97.053,89.830,113.150,98.822,87.297
,,#VALUE!,#VALUE!,,35 0:58.788,0:58.788,58.788,2242.605,,35 0:58.673,0:58.673,58.673,2290.539,,35 0:58.964,0:58.964,58.964,2245.460,,35 0:58.697,0:58.697,58.697,2264.863,,35 0:58.809,0:58.809,58.809,2280.611,,35 0:58.096,0:58.096,58.096,2259.116,,35 0:58.786,0:58.786,58.786,2241.126,,35 0:58.234,0:58.234,58.234,2278.234,,35 0:58.742,0:58.742,58.742,2239.361,,,,#VALUE!,#VALUE!,,35 0:58.163,0:58.163,58.163,2253.253,,35 0:59.027,0:59.027,59.027,2284.367,,35 0:58.285,0:58.285,58.285,2306.623,,35 0:58.076,0:58.076,58.076,2255.382,,35 0:58.264,0:58.264,58.264,2254.78,,35 0:58.799,0:58.799,58.799,2281.59,,35 0:58.235,0:58.235,58.235,2218.169,,35 0:58.662,0:58.662,58.662,2293.075,,35 0:58.253,0:58.253,58.253,2215.332,,34,2139.700,,44.117,,55.390,20.234,17.379,80.300,40.919,66.466,82.102,42.640,61.320,56.816,57.606,46.796,92.166,85.640,108.638,94.713,83.091
,,#VALUE!,#VALUE!,,36 0:58.621,0:58.621,58.621,2301.226,,36 0:58.452,0:58.452,58.452,2348.991,,36 0:58.813,0:58.813,58.813,2304.273,,36 0:58.636,0:58.636,58.636,2323.499,,36 0:58.509,0:58.509,58.509,2339.12,,36 0:58.175,0:58.175,58.175,2317.291,,36 0:58.707,0:58.707,58.707,2299.833,,36 0:58.205,0:58.205,58.205,2336.439,,36 0:58.653,0:58.653,58.653,2298.014,,,,#VALUE!,#VALUE!,,36 0:58.242,0:58.242,58.242,2311.495,,36 0:58.886,0:58.886,58.886,2343.253,,36 0:58.985,0:58.985,58.985,2365.608,,36 0:58.414,0:58.414,58.414,2313.796,,36 0:58.258,0:58.258,58.258,2313.038,,36 0:58.705,0:58.705,58.705,2340.295,,36 0:58.387,0:58.387,58.387,2276.556,,36 0:59.103,0:59.103,59.103,2352.178,,36 0:58.554,0:58.554,58.554,2273.886,,35,2202.632,,39.973,,50.621,15.537,12.700,75.602,36.729,62.231,77.979,38.494,56.484,52.148,52.750,42.828,87.907,81.735,103.991,90.443,78.958
,,#VALUE!,#VALUE!,,37 0:58.796,0:58.796,58.796,2360.022,,37 0:58.925,0:58.925,58.925,2407.916,,37 0:58.823,0:58.823,58.823,2363.096,,37 0:58.663,0:58.663,58.663,2382.162,,37 0:58.861,0:58.861,58.861,2397.981,,37 0:58.212,0:58.212,58.212,2375.503,,37 0:58.568,0:58.568,58.568,2358.401,,37 0:58.701,0:58.701,58.701,2395.140,,37 0:58.611,0:58.611,58.611,2356.625,,,,#VALUE!,#VALUE!,,37 0:58.365,0:58.365,58.365,2369.86,,37 0:58.787,0:58.787,58.787,2402.04,,37 0:58.889,0:58.889,58.889,2424.497,,37 0:58.319,0:58.319,58.319,2372.115,,37 0:58.098,0:58.098,58.098,2371.136,,37 0:58.634,0:58.634,58.634,2398.929,,37 0:58.114,0:58.114,58.114,2334.67,,37 0:58.886,0:58.886,58.886,2411.064,,37 0:58.309,0:58.309,58.309,2332.195,,36,2265.564,,35.662,,45.931,10.992,8.322,70.875,32.450,57.935,73.556,34.269,51.727,47.474,48.232,38.709,83.427,77.689,100.044,86.614,74.731
,,#VALUE!,#VALUE!,,38 0:58.710,0:58.710,58.710,2418.732,,38 0:59.082,0:59.082,59.082,2466.998,,38 0:58.637,0:58.637,58.637,2421.733,,38 0:59.031,0:59.031,59.031,2441.193,,38 0:58.486,0:58.486,58.486,2456.467,,38 0:58.399,0:58.399,58.399,2433.902,,38 0:58.772,0:58.772,58.772,2417.173,,38 0:58.379,0:58.379,58.379,2453.519,,38 0:58.727,0:58.727,58.727,2415.352,,,,#VALUE!,#VALUE!,,38 0:58.292,0:58.292,58.292,2428.152,,38 0:58.875,0:58.875,58.875,2460.915,,38 0:58.577,0:58.577,58.577,2483.074,,38 0:58.141,0:58.141,58.141,2430.256,,38 0:58.411,0:58.411,58.411,2429.547,,38 0:58.860,0:58.860,58.86,2457.789,,38 0:58.594,0:58.594,58.594,2393.264,,38 0:59.027,0:59.027,59.027,2470.091,,38 0:58.240,0:58.240,58.24,2390.435,,37,2328.497,,31.525,,41.363,6.173,3.698,66.643,28.128,53.665,69.484,29.904,47.006,42.639,43.618,34.599,79.419,73.543,96.000,82.567,70.432
,,#VALUE!,#VALUE!,,39 0:58.664,0:58.664,58.664,2477.396,,39 0:58.739,0:58.739,58.739,2525.737,,39 0:58.700,0:58.700,58.700,2480.433,,39 0:58.321,0:58.321,58.321,2499.514,,39 0:58.781,0:58.781,58.781,2515.248,,39 0:58.280,0:58.280,58.280,2492.182,,39 0:58.588,0:58.588,58.588,2475.761,,39 0:58.417,0:58.417,58.417,2511.936,,39 0:58.643,0:58.643,58.643,2473.995,,,,#VALUE!,#VALUE!,,39 0:57.913,0:57.913,57.913,2486.065,,39 0:58.641,0:58.641,58.641,2519.556,,39 0:58.609,0:58.609,58.609,2541.683,,39 0:58.289,0:58.289,58.289,2488.545,,39 0:58.221,0:58.221,58.221,2487.768,,39 0:58.558,0:58.558,58.558,2516.347,,39 0:58.198,0:58.198,58.198,2451.462,,39 0:58.806,0:58.806,58.806,2528.897,,39 0:58.267,0:58.267,58.267,2448.702,,38,2391.429,,27.303,,36.723,1.835,-0.994,62.090,23.923,49.764,65.038,25.744,42.473,38.118,38.827,30.304,75.569,69.486,91.645,78.662,66.360
,,#VALUE!,#VALUE!,,40 0:58.600,0:58.600,58.600,2535.996,,40 0:58.900,0:58.900,58.900,2584.637,,40 0:58.673,0:58.673,58.673,2539.106,,40 0:58.546,0:58.546,58.546,2558.060,,40 0:58.569,0:58.569,58.569,2573.817,,40 0:58.109,0:58.109,58.109,2550.291,,40 0:58.693,0:58.693,58.693,2534.454,,40 0:58.473,0:58.473,58.473,2570.409,,40 0:58.699,0:58.699,58.699,2532.694,,,,#VALUE!,#VALUE!,,40 0:58.105,0:58.105,58.105,2544.17,,40 0:58.741,0:58.741,58.741,2578.297,,40 1:02.424,1:02.424,62.424,2604.107,,40 0:58.304,0:58.304,58.304,2546.849,,40 0:58.210,0:58.210,58.21,2545.978,,40 0:58.600,0:58.600,58.6,2574.947,,40 0:58.272,0:58.272,58.272,2509.734,,40 0:58.729,0:58.729,58.729,2587.626,,40 0:58.280,0:58.280,58.28,2506.982,,39,2454.361,,23.035,,31.704,-2.899,-5.659,57.575,19.634,45.153,60.887,21.400,37.821,33.407,34.184,26.072,71.376,65.195,87.322,74.536,61.986
,,#VALUE!,#VALUE!,,41 0:58.730,0:58.730,58.730,2594.726,,41 0:58.659,0:58.659,58.659,2643.296,,41 0:58.893,0:58.893,58.893,2597.999,,41 0:58.472,0:58.472,58.472,2616.532,,41 0:58.626,0:58.626,58.626,2632.443,,41 0:58.371,0:58.371,58.371,2608.662,,41 P 1:00.962,1:00.962,60.962,2595.416,,41 0:58.589,0:58.589,58.589,2628.998,,41 0:58.525,0:58.525,58.525,2591.219,,,,#VALUE!,#VALUE!,,41 0:58.126,0:58.126,58.126,2602.296,,41 0:58.740,0:58.740,58.74,2637.037,,41 1:01.021,1:01.021,61.021,2665.128,,41 0:58.573,0:58.573,58.573,2605.422,,41 0:58.699,0:58.699,58.699,2604.677,,41 0:58.638,0:58.638,58.638,2633.585,,41 0:58.363,0:58.363,58.363,2568.097,,41 0:58.892,0:58.892,58.892,2646.518,,41 0:58.133,0:58.133,58.133,2565.115,,40,2517.294,,18.702,,26.876,-7.560,-10.312,53.115,15.400,40.766,56.523,17.160,32.997,28.684,29.555,21.812,67.343,61.003,86.813,70.332,57.653
,,#VALUE!,#VALUE!,,42 0:58.478,0:58.478,58.478,2653.204,,42 0:58.784,0:58.784,58.784,2702.080,,42 0:58.737,0:58.737,58.737,2656.736,,42 0:58.840,0:58.840,58.840,2675.372,,42 0:58.482,0:58.482,58.482,2690.925,,42 0:58.322,0:58.322,58.322,2666.984,,42 1:18.182,1:18.182,78.182,2673.598,,42 0:58.385,0:58.385,58.385,2687.383,,42 P 1:01.620,1:01.620,61.620,2652.839,,,,#VALUE!,#VALUE!,,42 0:58.246,0:58.246,58.246,2660.542,,42 0:58.704,0:58.704,58.704,2695.741,,42 0:59.029,0:59.029,59.029,2724.157,,42 0:57.999,0:57.999,57.999,2663.421,,42 0:57.796,0:57.796,57.796,2662.473,,42 0:58.506,0:58.506,58.506,2692.091,,42 0:58.043,0:58.043,58.043,2626.14,,42 0:59.275,0:59.275,59.275,2705.793,,42 0:58.165,0:58.165,58.165,2623.28,,41,2580.226,,14.500,,22.070,-12.129,-15.111,48.772,10.993,36.306,52.217,15.190,28.436,24.451,25.196,17.773,63.070,56.811,84.902,66.292,53.359
,,#VALUE!,#VALUE!,,43 0:58.125,0:58.125,58.125,2711.329,,43 0:58.633,0:58.633,58.633,2760.713,,43 0:58.393,0:58.393,58.393,2715.129,,43 0:58.454,0:58.454,58.454,2733.826,,43 0:58.569,0:58.569,58.569,2749.494,,43 0:58.633,0:58.633,58.633,2725.617,,43 0:57.699,0:57.699,57.699,2731.297,,43 0:58.358,0:58.358,58.358,2745.741,,43 1:19.210,1:19.210,79.210,2732.049,,,,#VALUE!,#VALUE!,,43 0:57.967,0:57.967,57.967,2718.509,,43 0:58.846,0:58.846,58.846,2754.587,,43 0:58.970,0:58.970,58.97,2783.127,,43 0:58.199,0:58.199,58.199,2721.62,,43 0:58.140,0:58.140,58.14,2720.613,,43 0:58.677,0:58.677,58.677,2750.768,,43 0:58.304,0:58.304,58.304,2684.444,,43 0:58.727,0:58.727,58.727,2764.52,,43 0:58.164,0:58.164,58.164,2681.444,,42,2643.158,,10.046,,17.384,-17.018,-19.878,44.225,9.681,32.214,47.767,30.440,23.826,19.315,20.263,13.578,58.922,52.583,80.999,62.635,48.933
