1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,LS_Laptime_s,LS_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,38 Oliver BEARMAN,,OB_Laptime_s,OB_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
20 1:33.066,1:33.066,93.066,2065.531,,20 1:33.377,1:33.377,93.377,2071.665,,20 1:35.251,1:35.251,95.251,2100.378,,20 1:35.278,1:35.278,95.278,2098.675,,20 1:34.003,1:34.003,94.003,2074.993,,20 1:34.324,1:34.324,94.324,2079.92,,,,#VALUE!,#VALUE!,,20 1:35.020,1:35.020,95.020,2097.850,,20 1:34.390,1:34.390,94.390,2083.416,,,,,,,20 1:33.949,1:33.949,93.949,2076.285,,20 1:34.828,1:34.828,94.828,2090.623,,20 1:35.012,1:35.012,95.012,2096.34,,20 1:35.067,1:35.067,95.067,2090.503,,20 1:36.073,1:36.073,96.073,2103.535,,20 1:35.060,1:35.060,95.06,2096.967,,20 1:35.087,1:35.087,95.087,2095.252,,20 1:36.253,1:36.253,96.253,2103.084,,20 1:34.225,1:34.225,94.225,2079.35,,20 1:34.457,1:34.457,94.457,2084.658,,19,1972.465,0.000,5.823,9.871,23.330,12.660,17.736,16.561,,8.525,13.131,30.365,,29.442,34.997,30.932,32.662,28.863,22.971,34.366,27.700
21 1:32.933,1:32.933,92.933,2158.464,,21 1:33.132,1:33.132,93.132,2164.797,,21 1:35.082,1:35.082,95.082,2195.460,,21 1:34.820,1:34.820,94.820,2193.495,,21 1:33.941,1:33.941,93.941,2168.934,,21 1:33.793,1:33.793,93.793,2173.713,,,,#VALUE!,#VALUE!,,21 1:34.925,1:34.925,94.925,2192.775,,21 1:34.378,1:34.378,94.378,2177.794,,,,,,,21 1:33.722,1:33.722,93.722,2170.007,,21 1:34.368,1:34.368,94.368,2184.991,,21 1:34.923,1:34.923,94.923,2191.263,,21 1:36.369,1:36.369,96.369,2186.872,,21 1:36.779,1:36.779,96.779,2200.314,,21 1:34.710,1:34.710,94.71,2191.677,,21 1:35.399,1:35.399,95.399,2190.651,,21 1:36.801,1:36.801,96.801,2199.885,,21 1:34.016,1:34.016,94.016,2173.366,,21 1:34.144,1:34.144,94.144,2178.802,,20,2065.531,0.000,6.134,10.754,25.092,13.819,19.127,17.885,,9.462,14.389,32.319,,31.436,38.004,33.144,34.847,30.809,24.972,37.553,29.721
22 1:32.980,1:32.980,92.980,2251.444,,22 1:33.064,1:33.064,93.064,2257.861,,22 1:35.601,1:35.601,95.601,2291.061,,22 1:36.016,1:36.016,96.016,2289.511,,22 1:33.698,1:33.698,93.698,2262.632,,22 1:34.760,1:34.760,94.76,2268.473,,,,#VALUE!,#VALUE!,,22 1:35.218,1:35.218,95.218,2287.993,,22 1:34.173,1:34.173,94.173,2271.967,,,,,,,22 1:33.702,1:33.702,93.702,2263.709,,22 1:34.559,1:34.559,94.559,2279.55,,22 1:35.804,1:35.804,95.804,2287.067,,22 1:35.358,1:35.358,95.358,2282.23,,22 1:36.433,1:36.433,96.433,2296.747,,22 1:35.698,1:35.698,95.698,2287.375,,22 1:35.158,1:35.158,95.158,2285.809,,22 1:36.425,1:36.425,96.425,2296.31,,22 1:34.419,1:34.419,94.419,2267.785,,22 1:34.264,1:34.264,94.264,2273.066,,21,2158.464,0.000,6.333,11.543,26.527,14.902,20.338,19.330,,10.470,15.249,34.311,,33.213,41.850,35.031,36.996,32.799,28.408,41.421,32.187
23 1:32.792,1:32.792,92.792,2344.236,,23 1:32.970,1:32.970,92.970,2350.831,,23 1:35.016,1:35.016,95.016,2386.077,,23 1:35.363,1:35.363,95.363,2384.874,,23 1:33.824,1:33.824,93.824,2356.456,,23 1:33.715,1:33.715,93.715,2362.188,,,,#VALUE!,#VALUE!,,23 1:36.216,1:36.216,96.216,2384.209,,23 1:33.958,1:33.958,93.958,2365.925,,,,,,,23 1:33.602,1:33.602,93.602,2357.311,,23 1:34.128,1:34.128,94.128,2373.678,,23 1:36.198,1:36.198,96.198,2383.265,,23 1:34.816,1:34.816,94.816,2377.046,,23 1:35.855,1:35.855,95.855,2392.602,,23 1:36.285,1:36.285,96.285,2383.66,,23 1:35.296,1:35.296,95.296,2381.105,,23 1:36.251,1:36.251,96.251,2392.561,,23 1:34.041,1:34.041,94.041,2361.826,,23 1:34.099,1:34.099,94.099,2367.165,,22,2251.444,0.000,6.417,12.265,28.106,16.341,21.622,20.523,,11.188,17.029,36.549,,35.931,45.303,38.067,39.617,35.623,30.786,44.866,34.365
24 1:32.683,1:32.683,92.683,2436.919,,24 1:32.795,1:32.795,92.795,2443.626,,24 1:35.133,1:35.133,95.133,2481.210,,24 1:35.967,1:35.967,95.967,2480.841,,24 1:33.561,1:33.561,93.561,2450.017,,24 1:34.097,1:34.097,94.097,2456.285,,,,#VALUE!,#VALUE!,,24 1:36.124,1:36.124,96.124,2480.333,,24 1:34.033,1:34.033,94.033,2459.958,,,,,,,24 1:33.511,1:33.511,93.511,2450.822,,24 1:33.966,1:33.966,93.966,2467.644,,24 1:36.072,1:36.072,96.072,2479.337,,24 1:34.843,1:34.843,94.843,2471.889,,24 1:34.935,1:34.935,94.935,2487.537,,24 1:35.882,1:35.882,95.882,2479.542,,24 1:35.145,1:35.145,95.145,2476.25,,24 1:36.902,1:36.902,96.902,2489.463,,24 1:34.025,1:34.025,94.025,2455.851,,24 1:34.256,1:34.256,94.256,2461.421,,23,2344.236,0.000,6.595,13.075,29.442,17.590,22.929,21.689,,12.220,17.952,39.973,,39.424,48.366,40.638,41.841,39.029,32.810,48.325,36.869
25 1:32.785,1:32.785,92.785,2529.704,,25 1:33.029,1:33.029,93.029,2536.655,,25 1:36.539,1:36.539,96.539,2577.749,,25 1:36.124,1:36.124,96.124,2576.965,,25 1:33.572,1:33.572,93.572,2543.589,,25 1:33.694,1:33.694,93.694,2549.979,,,,#VALUE!,#VALUE!,,25 1:36.373,1:36.373,96.373,2576.706,,25 1:33.890,1:33.890,93.890,2553.848,,,,,,,25 1:33.136,1:33.136,93.136,2543.958,,25 1:33.924,1:33.924,93.924,2561.568,,25 1:36.555,1:36.555,96.555,2575.892,,25 1:34.725,1:34.725,94.725,2566.614,,25 1:34.739,1:34.739,94.739,2582.276,,25 1:36.548,1:36.548,96.548,2576.09,,25 1:35.145,1:35.145,95.145,2571.395,,25 1:35.619,1:35.619,95.619,2585.082,,25 1:33.532,1:33.532,93.532,2549.383,,25 1:34.077,1:34.077,94.077,2555.498,,24,2436.919,0.000,6.707,13.903,30.725,18.932,24.502,23.039,,13.098,19.366,43.414,,42.623,50.618,43.922,44.291,42.418,34.970,52.544,39.331
26 1:32.561,1:32.561,92.561,2622.265,,26 1:32.750,1:32.750,92.750,2629.405,,26 1:36.497,1:36.497,96.497,2674.246,,26 1:36.633,1:36.633,96.633,2673.598,,26 1:33.792,1:33.792,93.792,2637.381,,26 1:33.312,1:33.312,93.312,2643.291,,,,#VALUE!,#VALUE!,,26 1:36.331,1:36.331,96.331,2673.037,,26 1:33.841,1:33.841,93.841,2647.689,,,,,,,26 1:33.510,1:33.510,93.51,2637.468,,26 1:33.788,1:33.788,93.788,2655.356,,26 1:36.260,1:36.260,96.26,2672.152,,26 1:34.694,1:34.694,94.694,2661.308,,26 1:34.973,1:34.973,94.973,2677.249,,26 1:36.662,1:36.662,96.662,2672.752,,26 1:35.036,1:35.036,95.036,2666.431,,26 1:35.319,1:35.319,95.319,2680.401,,26 1:33.518,1:33.518,93.518,2642.901,,26 1:33.737,1:33.737,93.737,2649.235,,25,2529.704,0.000,6.951,14.254,31.864,19.679,25.794,24.144,,13.885,20.275,47.002,,46.386,52.572,47.261,48.045,46.188,36.910,55.378,41.691
27 1:32.722,1:32.722,92.722,2714.987,,27 1:32.734,1:32.734,92.734,2722.139,,27 1:36.198,1:36.198,96.198,2770.444,,27 1:36.127,1:36.127,96.127,2769.725,,27 1:34.718,1:34.718,94.718,2732.099,,27 1:33.998,1:33.998,93.998,2737.289,,,,#VALUE!,#VALUE!,,27 1:36.399,1:36.399,96.399,2769.436,,27 1:33.580,1:33.580,93.580,2741.269,,,,,,,27 1:33.151,1:33.151,93.151,2730.619,,27 1:33.808,1:33.808,93.808,2749.164,,27 1:36.222,1:36.222,96.222,2768.374,,27 1:34.704,1:34.704,94.704,2756.012,,27 1:35.648,1:35.648,95.648,2772.897,,27 1:36.093,1:36.093,96.093,2768.845,,27 1:35.002,1:35.002,95.002,2761.433,,27 1:35.254,1:35.254,95.254,2775.655,,27 1:33.918,1:33.918,93.918,2736.819,,27 1:33.571,1:33.571,93.571,2742.806,,26,2622.265,0.000,7.140,15.203,33.091,20.636,26.970,25.424,,15.116,21.026,50.772,,50.487,54.984,51.333,51.981,49.887,39.043,58.136,44.166
28 1:32.674,1:32.674,92.674,2807.661,,28 1:32.968,1:32.968,92.968,2815.107,,28 1:35.886,1:35.886,95.886,2866.330,,28 1:36.166,1:36.166,96.166,2865.891,,28 1:33.794,1:33.794,93.794,2825.893,,28 1:33.527,1:33.527,93.527,2830.816,,,,#VALUE!,#VALUE!,,28 1:35.884,1:35.884,95.884,2865.320,,28 1:33.863,1:33.863,93.863,2835.132,,,,,,,28 1:33.202,1:33.202,93.202,2823.821,,28 1:33.639,1:33.639,93.639,2842.803,,28 1:36.099,1:36.099,96.099,2864.473,,28 1:34.482,1:34.482,94.482,2850.494,,28 1:35.285,1:35.285,95.285,2868.182,,28 1:35.668,1:35.668,95.668,2864.513,,28 1:34.879,1:34.879,94.879,2856.312,,28 1:35.324,1:35.324,95.324,2870.979,,28 1:33.560,1:33.560,93.56,2830.379,,28 1:33.775,1:33.775,93.775,2836.581,,27,2714.987,0.000,7.152,15.632,34.177,21.832,27.819,26.282,,17.112,22.302,54.449,,53.858,57.910,54.738,55.457,53.387,41.025,60.668,46.446
29 1:32.752,1:32.752,92.752,2900.413,,29 1:32.671,1:32.671,92.671,2907.778,,29 1:36.047,1:36.047,96.047,2962.377,,29 1:35.687,1:35.687,95.687,2961.578,,29 1:33.631,1:33.631,93.631,2919.524,,29 1:33.821,1:33.821,93.821,2924.637,,,,#VALUE!,#VALUE!,,29 1:35.305,1:35.305,95.305,2960.625,,29 1:33.682,1:33.682,93.682,2928.814,,,,,,,29 1:33.305,1:33.305,93.305,2917.126,,29 1:33.379,1:33.379,93.379,2936.182,,29 1:35.797,1:35.797,95.797,2960.27,,29 1:34.235,1:34.235,94.235,2944.729,,29 1:35.649,1:35.649,95.649,2963.831,,29 1:36.731,1:36.731,96.731,2961.244,,29 1:34.990,1:34.990,94.99,2951.302,,29 1:34.857,1:34.857,94.857,2965.836,,29 1:33.567,1:33.567,93.567,2923.946,,29 1:33.643,1:33.643,93.643,2930.224,,28,2807.661,0.000,7.446,16.160,35.142,22.718,28.920,27.471,,18.232,23.155,57.659,,56.852,60.521,58.230,58.669,56.812,42.833,63.318,48.651
30 1:32.601,1:32.601,92.601,2993.014,,30 1:32.782,1:32.782,92.782,3000.560,,30 1:35.750,1:35.750,95.750,3058.127,,30 1:36.135,1:36.135,96.135,3057.713,,30 1:33.650,1:33.650,93.650,3013.174,,30 1:33.376,1:33.376,93.376,3018.013,,,,#VALUE!,#VALUE!,,30 1:36.117,1:36.117,96.117,3056.742,,30 1:33.493,1:33.493,93.493,3022.307,,,,,,,30 1:32.863,1:32.863,92.863,3009.989,,30 1:33.771,1:33.771,93.771,3029.953,,30 1:35.843,1:35.843,95.843,3056.113,,30 1:34.307,1:34.307,94.307,3039.036,,30 1:35.608,1:35.608,95.608,3059.439,,30 1:36.041,1:36.041,96.041,3057.285,,30 1:34.885,1:34.885,94.885,3046.187,,30 1:35.313,1:35.313,95.313,3061.149,,30 1:33.354,1:33.354,93.354,3017.3,,30 1:33.631,1:33.631,93.631,3023.855,,29,2900.413,0.000,7.365,16.713,35.769,23.533,29.811,28.401,,19.111,24.224,60.212,,60.831,63.418,61.165,61.964,59.857,44.316,65.423,50.889
31 1:32.454,1:32.454,92.454,3085.468,,31 1:32.825,1:32.825,92.825,3093.385,,31 1:35.879,1:35.879,95.879,3154.006,,31 1:35.840,1:35.840,95.840,3153.553,,31 1:33.562,1:33.562,93.562,3106.736,,31 1:33.352,1:33.352,93.352,3111.365,,,,#VALUE!,#VALUE!,,31 1:35.912,1:35.912,95.912,3152.654,,31 1:33.670,1:33.670,93.670,3115.977,,,,,,,31 1:32.606,1:32.606,92.606,3102.595,,31 1:33.446,1:33.446,93.446,3123.399,,31 1:36.061,1:36.061,96.061,3152.174,,31 1:34.182,1:34.182,94.182,3133.218,,31 1:35.433,1:35.433,95.433,3154.872,,31 1:35.939,1:35.939,95.939,3153.224,,31 1:34.800,1:34.800,94.8,3140.987,,31 1:35.415,1:35.415,95.415,3156.564,,31 1:33.384,1:33.384,93.384,3110.684,,31 1:33.565,1:33.565,93.565,3117.42,,30,2993.014,0.000,7.546,16.975,36.939,24.286,30.841,29.293,,20.160,24.999,63.728,,64.271,66.425,64.699,65.113,63.099,46.022,68.135,53.173
32 1:32.545,1:32.545,92.545,3178.013,,32 1:32.506,1:32.506,92.506,3185.891,,32 1:35.897,1:35.897,95.897,3249.903,,32 1:35.621,1:35.621,95.621,3249.174,,32 1:33.309,1:33.309,93.309,3200.045,,32 1:33.261,1:33.261,93.261,3204.626,,,,#VALUE!,#VALUE!,,32 1:35.709,1:35.709,95.709,3248.363,,32 1:33.398,1:33.398,93.398,3209.375,,,,,,,32 1:32.959,1:32.959,92.959,3195.554,,32 1:33.086,1:33.086,93.086,3216.485,,32 1:35.783,1:35.783,95.783,3247.957,,32 1:33.999,1:33.999,93.999,3227.217,,32 1:35.804,1:35.804,95.804,3250.676,,32 1:35.694,1:35.694,95.694,3248.918,,32 1:34.631,1:34.631,94.631,3235.618,,32 1:35.173,1:35.173,95.173,3251.737,,32 1:33.406,1:33.406,93.406,3204.09,,32 1:33.390,1:33.390,93.39,3210.81,,31,3085.468,0.000,7.917,17.127,37.931,25.216,31.952,30.509,,21.268,25.897,67.186,,67.756,69.404,68.085,68.538,66.706,47.750,71.096,55.519
33 1:32.309,1:32.309,92.309,3270.322,,33 1:32.564,1:32.564,92.564,3278.455,,33 1:35.700,1:35.700,95.700,3345.603,,33 1:35.221,1:35.221,95.221,3344.395,,33 1:33.514,1:33.514,93.514,3293.559,,33 1:33.290,1:33.290,93.29,3297.916,,,,#VALUE!,#VALUE!,,33 1:35.753,1:35.753,95.753,3344.116,,33 1:33.452,1:33.452,93.452,3302.827,,,,,,,33 1:33.064,1:33.064,93.064,3288.618,,33 1:33.551,1:33.551,93.551,3310.036,,33 1:35.700,1:35.700,95.7,3343.657,,33 P 1:36.601,1:36.601,96.601,3323.818,,33 1:35.753,1:35.753,95.753,3346.429,,33 1:36.118,1:36.118,96.118,3345.036,,33 1:34.679,1:34.679,94.679,3330.297,,33 1:35.792,1:35.792,95.792,3347.529,,33 1:33.360,1:33.360,93.36,3297.45,,33 1:33.320,1:33.320,93.32,3304.13,,32,3178.013,0.000,7.878,17.541,38.472,26.077,32.797,31.362,,22.032,26.613,70.350,,70.905,72.663,71.161,71.890,69.944,49.204,73.724,57.605
34 1:32.558,1:32.558,92.558,3362.880,,34 1:32.631,1:32.631,92.631,3371.086,,34 1:34.843,1:34.843,94.843,3440.446,,34 1:34.524,1:34.524,94.524,3438.919,,34 1:33.399,1:33.399,93.399,3386.958,,34 1:33.405,1:33.405,93.405,3391.321,,,,#VALUE!,#VALUE!,,34 1:34.087,1:34.087,94.087,3438.203,,34 1:33.261,1:33.261,93.261,3396.088,,,,,,,34 1:33.097,1:33.097,93.097,3381.715,,34 1:33.256,1:33.256,93.256,3403.292,,34 1:34.174,1:34.174,94.174,3437.831,,34 1:51.863,1:51.863,111.863,3435.681,,34 1:35.250,1:35.250,95.25,3441.679,,34 1:34.768,1:34.768,94.768,3439.804,,34 1:34.650,1:34.650,94.65,3424.947,,34 1:35.721,1:35.721,95.721,3443.25,,34 1:33.693,1:33.693,93.693,3391.143,,34 1:33.309,1:33.309,93.309,3397.439,,33,3270.322,0.000,8.133,18.296,39.714,27.128,33.808,32.505,,23.237,27.594,73.794,,74.714,76.107,74.073,75.281,73.335,53.496,77.207,59.975
35 1:32.536,1:32.536,92.536,3455.416,,35 1:32.418,1:32.418,92.418,3463.504,,35 1:34.716,1:34.716,94.716,3535.162,,35 1:35.050,1:35.050,95.050,3533.969,,35 1:33.571,1:33.571,93.571,3480.529,,35 1:34.118,1:34.118,94.118,3485.439,,,,#VALUE!,#VALUE!,,35 1:34.061,1:34.061,94.061,3532.264,,35 1:33.395,1:33.395,93.395,3489.483,,,,,,,35 1:33.013,1:33.013,93.013,3474.728,,35 1:33.266,1:33.266,93.266,3496.558,,35 1:33.923,1:33.923,93.923,3531.754,,35 1:33.106,1:33.106,93.106,3528.787,,35 1:34.658,1:34.658,94.658,3536.337,,35 1:34.781,1:34.781,94.781,3534.585,,35 1:34.405,1:34.405,94.405,3519.352,,35 P 1:37.864,1:37.864,97.864,3541.114,,35 1:33.742,1:33.742,93.742,3484.885,,35 1:33.081,1:33.081,93.081,3490.52,,34,3362.880,0.000,8.206,18.835,40.412,28.263,34.559,33.208,,24.078,28.441,75.323,,76.924,78.799,76.039,77.566,74.951,72.801,80.370,62.067
36 1:32.413,1:32.413,92.413,3547.829,,36 1:32.363,1:32.363,92.363,3555.867,,36 1:34.576,1:34.576,94.576,3629.738,,36 1:33.987,1:33.987,93.987,3627.956,,36 1:33.573,1:33.573,93.573,3574.102,,36 1:33.029,1:33.029,93.029,3578.468,,,,#VALUE!,#VALUE!,,36 1:33.799,1:33.799,93.799,3626.063,,36 1:33.014,1:33.014,93.014,3582.497,,,,,,,36 1:32.915,1:32.915,92.915,3567.643,,36 1:33.053,1:33.053,93.053,3589.611,,36 1:33.760,1:33.760,93.76,3625.514,,36 1:33.015,1:33.015,93.015,3621.802,,36 1:34.920,1:34.920,94.92,3631.257,,36 1:34.358,1:34.358,94.358,3628.943,,36 1:34.282,1:34.282,94.282,3613.634,,36 1:54.249,1:54.249,114.249,3655.363,,36 P 1:35.967,1:35.967,95.967,3580.852,,36 1:33.125,1:33.125,93.125,3583.645,,35,3455.416,0.000,8.088,19.312,41.142,29.469,35.104,34.067,,25.113,30.023,76.848,,79.169,80.921,78.553,79.746,76.338,73.371,85.698,63.936
37 1:32.412,1:32.412,92.412,3640.241,,37 1:32.273,1:32.273,92.273,3648.140,,37 1:34.228,1:34.228,94.228,3723.966,,37 1:33.939,1:33.939,93.939,3721.895,,37 P 1:36.675,1:36.675,96.675,3670.777,,37 1:32.934,1:32.934,92.934,3671.402,,,,#VALUE!,#VALUE!,,37 1:33.810,1:33.810,93.810,3719.873,,37 1:33.116,1:33.116,93.116,3675.613,,,,,,,37 1:32.674,1:32.674,92.674,3660.317,,37 1:33.052,1:33.052,93.052,3682.663,,37 1:33.516,1:33.516,93.516,3719.03,,37 1:33.248,1:33.248,93.248,3715.05,,37 1:34.125,1:34.125,94.125,3725.382,,37 1:34.233,1:34.233,94.233,3723.176,,37 1:34.132,1:34.132,94.132,3707.766,,37 1:33.080,1:33.080,93.08,3748.443,,37 1:49.485,1:49.485,109.485,3690.337,,37 1:33.258,1:33.258,93.258,3676.903,,36,3547.829,0.000,8.038,19.814,41.782,33.023,35.816,34.668,,26.273,30.639,78.234,,81.114,83.428,80.127,81.909,77.685,73.973,107.534,65.805
38 1:32.296,1:32.296,92.296,3732.537,,38 1:32.711,1:32.711,92.711,3740.851,,38 1:33.763,1:33.763,93.763,3817.729,,38 1:33.673,1:33.673,93.673,3815.568,,38 1:50.849,1:50.849,110.849,3781.626,,38 1:33.087,1:33.087,93.087,3764.489,,,,#VALUE!,#VALUE!,,38 1:33.845,1:33.845,93.845,3813.718,,38 1:32.937,1:32.937,92.937,3768.550,,,,,,,38 1:32.632,1:32.632,92.632,3752.949,,38 1:32.708,1:32.708,92.708,3775.371,,38 1:33.429,1:33.429,93.429,3812.459,,38 1:33.153,1:33.153,93.153,3808.203,,38 1:33.821,1:33.821,93.821,3819.203,,38 1:33.961,1:33.961,93.961,3817.137,,38 1:33.914,1:33.914,93.914,3801.68,,38 1:32.927,1:32.927,92.927,3841.37,,38 1:31.746,1:31.746,91.746,3782.083,,38 1:33.018,1:33.018,93.018,3769.921,,37,3640.241,0.000,7.899,20.076,42.422,50.096,36.662,35.372,,30.536,31.161,79.632,,82.935,85.141,81.654,83.725,78.789,74.809,108.202,67.525
39 1:31.995,1:31.995,91.995,3824.532,,39 1:32.350,1:32.350,92.350,3833.201,,39 1:33.970,1:33.970,93.970,3911.699,,39 1:33.504,1:33.504,93.504,3909.072,,39 1:32.106,1:32.106,92.106,3873.732,,39 1:32.675,1:32.675,92.675,3857.164,,,,#VALUE!,#VALUE!,,39 1:34.047,1:34.047,94.047,3907.765,,39 1:32.692,1:32.692,92.692,3861.242,,,,,,,39 1:32.722,1:32.722,92.722,3845.671,,39 1:32.756,1:32.756,92.756,3868.127,,39 1:33.203,1:33.203,93.203,3905.662,,39 1:33.045,1:33.045,93.045,3901.248,,39 1:33.974,1:33.974,93.974,3913.177,,39 1:33.894,1:33.894,93.894,3911.031,,39 1:33.915,1:33.915,93.915,3895.595,,39 1:33.028,1:33.028,93.028,3934.398,,39 1:32.315,1:32.315,92.315,3874.398,,39 1:32.607,1:32.607,92.607,3862.528,,38,3732.537,0.000,8.314,20.412,42.834,49.546,37.384,36.013,,49.089,31.952,81.181,,84.600,86.666,83.031,85.192,79.922,75.666,108.833,69.143
